"census_id","HR_code","census_type"
"48061476",4832,"DA"
"48061475",4832,"DA"
"48060818",4832,"DA"
"48060543",4832,"DA"
"48060546",4832,"DA"
"48061472",4832,"DA"
"48060815",4832,"DA"
"48061486",4832,"DA"
"48061482",4832,"DA"
"48060813",4832,"DA"
"48060544",4832,"DA"
"48061473",4832,"DA"
"48061484",4832,"DA"
"48060812",4832,"DA"
"48060816",4832,"DA"
"48061215",4832,"DA"
"48061480",4832,"DA"
"48061286",4832,"DA"
"48060811",4832,"DA"
"48061481",4832,"DA"
"48060541",4832,"DA"
"48060542",4832,"DA"
"48061213",4832,"DA"
"48061892",4832,"DA"
"48062134",4832,"DA"
"48060768",4832,"DA"
"48061214",4832,"DA"
"48060775",4832,"DA"
"48060769",4832,"DA"
"48061288",4832,"DA"
"48060776",4832,"DA"
"48061467",4832,"DA"
"48060770",4832,"DA"
"48061287",4832,"DA"
"48061217",4832,"DA"
"48060540",4832,"DA"
"48061210",4832,"DA"
"48060787",4832,"DA"
"48060539",4832,"DA"
"48060777",4832,"DA"
"48060835",4832,"DA"
"48060771",4832,"DA"
"48060538",4832,"DA"
"48062135",4832,"DA"
"48061211",4832,"DA"
"48060786",4832,"DA"
"48060834",4832,"DA"
"48062136",4832,"DA"
"48060774",4832,"DA"
"48061290",4832,"DA"
"48061283",4832,"DA"
"48060778",4832,"DA"
"48061285",4832,"DA"
"48061284",4832,"DA"
"48060785",4832,"DA"
"48061209",4832,"DA"
"48060780",4832,"DA"
"48061218",4832,"DA"
"48061582",4832,"DA"
"48062137",4832,"DA"
"48060779",4832,"DA"
"48060784",4832,"DA"
"48061220",4832,"DA"
"48061205",4832,"DA"
"48060781",4832,"DA"
"48061281",4832,"DA"
"48060783",4832,"DA"
"48060789",4832,"DA"
"48061222",4832,"DA"
"48061204",4832,"DA"
"48061207",4832,"DA"
"48061221",4832,"DA"
"48060525",4832,"DA"
"48060522",4832,"DA"
"48061282",4832,"DA"
"48061278",4832,"DA"
"48061613",4832,"DA"
"48060524",4832,"DA"
"48061296",4832,"DA"
"48060526",4832,"DA"
"48061279",4832,"DA"
"48061280",4832,"DA"
"48060536",4832,"DA"
"48060527",4832,"DA"
"48060790",4832,"DA"
"48060529",4832,"DA"
"48061583",4832,"DA"
"48060521",4832,"DA"
"48061300",4832,"DA"
"48060791",4832,"DA"
"48061201",4832,"DA"
"48061304",4832,"DA"
"48061297",4832,"DA"
"48060528",4832,"DA"
"48060519",4832,"DA"
"48060535",4832,"DA"
"48061298",4832,"DA"
"48060800",4832,"DA"
"48061635",4832,"DA"
"48061326",4832,"DA"
"48060793",4832,"DA"
"48061634",4832,"DA"
"48060797",4832,"DA"
"48061202",4832,"DA"
"48061299",4832,"DA"
"48060530",4832,"DA"
"48060792",4832,"DA"
"48060531",4832,"DA"
"48061272",4832,"DA"
"48061228",4832,"DA"
"48060518",4832,"DA"
"48060798",4832,"DA"
"48061277",4832,"DA"
"48061302",4832,"DA"
"48060513",4832,"DA"
"48060534",4832,"DA"
"48060802",4832,"DA"
"48061303",4832,"DA"
"48060799",4832,"DA"
"48061642",4832,"DA"
"48061275",4832,"DA"
"48060795",4832,"DA"
"48060796",4832,"DA"
"48060533",4832,"DA"
"48061301",4832,"DA"
"48061276",4832,"DA"
"48061893",4832,"DA"
"48060804",4832,"DA"
"48060808",4832,"DA"
"48061327",4832,"DA"
"48061274",4832,"DA"
"48060805",4832,"DA"
"48060511",4832,"DA"
"48061321",4832,"DA"
"48060806",4832,"DA"
"48061465",4832,"DA"
"48060512",4832,"DA"
"48060514",4832,"DA"
"48061273",4832,"DA"
"48061329",4832,"DA"
"48061306",4832,"DA"
"48060803",4832,"DA"
"48061328",4832,"DA"
"48061320",4832,"DA"
"48060509",4832,"DA"
"48060807",4832,"DA"
"48061305",4832,"DA"
"48061307",4832,"DA"
"48061331",4832,"DA"
"48061466",4832,"DA"
"48062083",4832,"DA"
"48061319",4832,"DA"
"48061308",4832,"DA"
"48061314",4832,"DA"
"48061318",4832,"DA"
"48061646",4832,"DA"
"48061312",4832,"DA"
"48061310",4832,"DA"
"48061309",4832,"DA"
"48061330",4832,"DA"
"48061267",4832,"DA"
"48061313",4832,"DA"
"48061316",4832,"DA"
"48061317",4832,"DA"
"48060502",4832,"DA"
"48061263",4832,"DA"
"48061315",4832,"DA"
"48061311",4832,"DA"
"48061265",4832,"DA"
"48061268",4832,"DA"
"48061232",4832,"DA"
"48061262",4832,"DA"
"48060500",4832,"DA"
"48061332",4832,"DA"
"48061647",4832,"DA"
"48061261",4832,"DA"
"48061264",4832,"DA"
"48061269",4832,"DA"
"48061334",4832,"DA"
"48061260",4832,"DA"
"48061588",4832,"DA"
"48061271",4832,"DA"
"48061256",4832,"DA"
"48061333",4832,"DA"
"48061259",4832,"DA"
"48061258",4832,"DA"
"48061257",4832,"DA"
"48061335",4832,"DA"
"48061253",4832,"DA"
"48061343",4832,"DA"
"48061252",4832,"DA"
"48060498",4832,"DA"
"48060499",4832,"DA"
"48061589",4832,"DA"
