"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37"
"4590201.00",4390.00,4345.00,1040.00,3305.00,40.00,4385.00,4230.00,160.00,0.00,3565.00,615.00,950.00,2005.00,2405.00,2055.00,95.00,145.00,75.00,0.00,25.00,3565.00,2610.00,2490.00,115.00,965.00,4390.00,1050.00,2940.00,395.00,215.00,40.00,135.00,35.00,1605.00,1390.00,215.00,0.00
"4590202.00",7415.00,7395.00,1895.00,5505.00,20.00,7420.00,7265.00,145.00,0.00,5870.00,840.00,1335.00,3695.00,3920.00,3340.00,85.00,300.00,130.00,25.00,40.00,5865.00,4310.00,4100.00,210.00,1560.00,7420.00,1895.00,4915.00,610.00,540.00,155.00,270.00,115.00,2725.00,2205.00,520.00,0.00
"4590203.00",3290.00,3235.00,690.00,2550.00,60.00,3295.00,3130.00,165.00,0.00,2715.00,440.00,610.00,1670.00,1595.00,1385.00,65.00,95.00,0.00,0.00,25.00,2720.00,1885.00,1780.00,110.00,830.00,3295.00,695.00,2250.00,350.00,320.00,90.00,210.00,20.00,1230.00,1185.00,45.00,0.00
"4590204.00",745.00,745.00,175.00,565.00,0.00,750.00,715.00,35.00,0.00,595.00,120.00,95.00,380.00,380.00,345.00,0.00,30.00,0.00,0.00,0.00,600.00,445.00,405.00,40.00,155.00,750.00,175.00,490.00,85.00,45.00,0.00,35.00,0.00,275.00,270.00,0.00,0.00
"4590205.00",3885.00,3825.00,990.00,2835.00,60.00,3885.00,3745.00,120.00,0.00,3055.00,390.00,705.00,1955.00,1995.00,1735.00,55.00,115.00,50.00,20.00,0.00,3055.00,2335.00,2165.00,170.00,710.00,3885.00,990.00,2560.00,335.00,225.00,40.00,150.00,35.00,1590.00,1210.00,380.00,0.00
"4590206.00",1785.00,1780.00,480.00,1300.00,0.00,1785.00,1760.00,25.00,0.00,1390.00,185.00,345.00,865.00,970.00,875.00,20.00,55.00,0.00,0.00,0.00,1390.00,1030.00,985.00,45.00,360.00,1785.00,480.00,1155.00,155.00,160.00,35.00,85.00,45.00,645.00,555.00,90.00,0.00
"4590207.00",795.00,770.00,170.00,605.00,0.00,795.00,745.00,50.00,0.00,640.00,75.00,150.00,415.00,420.00,365.00,0.00,30.00,0.00,0.00,0.00,640.00,450.00,435.00,0.00,190.00,790.00,180.00,540.00,75.00,30.00,0.00,30.00,0.00,265.00,260.00,0.00,0.00
"4590300.00",2970.00,2970.00,645.00,2325.00,0.00,2965.00,2940.00,25.00,0.00,2490.00,640.00,710.00,1135.00,1380.00,1190.00,20.00,65.00,40.00,50.00,10.00,2490.00,1545.00,1470.00,75.00,945.00,2970.00,645.00,1900.00,420.00,400.00,70.00,260.00,70.00,1275.00,785.00,500.00,0.00
"4590301.00",2850.00,2830.00,510.00,2315.00,20.00,2850.00,2785.00,60.00,0.00,2465.00,1050.00,530.00,885.00,1220.00,900.00,80.00,30.00,165.00,30.00,10.00,2470.00,1385.00,1305.00,80.00,1080.00,2850.00,510.00,1810.00,520.00,1025.00,245.00,550.00,230.00,1505.00,425.00,1075.00,0.00
"4590302.00",2610.00,2610.00,510.00,2100.00,0.00,2610.00,2605.00,0.00,0.00,2265.00,810.00,655.00,800.00,1375.00,1155.00,30.00,30.00,135.00,10.00,20.00,2265.00,1560.00,1465.00,95.00,705.00,2610.00,515.00,1805.00,290.00,380.00,105.00,230.00,45.00,1185.00,640.00,545.00,0.00
"4590304.00",1090.00,1090.00,250.00,840.00,0.00,1090.00,1070.00,25.00,0.00,900.00,150.00,250.00,495.00,515.00,425.00,0.00,50.00,30.00,0.00,0.00,900.00,580.00,560.00,15.00,325.00,1090.00,250.00,560.00,280.00,60.00,0.00,20.00,40.00,445.00,375.00,70.00,0.00
"4590400.00",2785.00,2770.00,535.00,2235.00,0.00,2785.00,2735.00,45.00,0.00,2320.00,590.00,625.00,1110.00,1440.00,1310.00,50.00,50.00,25.00,0.00,0.00,2325.00,1605.00,1550.00,55.00,715.00,2785.00,535.00,1890.00,360.00,360.00,105.00,220.00,25.00,1130.00,990.00,135.00,0.00
"4590401.00",3310.00,3305.00,800.00,2510.00,0.00,3310.00,3260.00,50.00,0.00,2670.00,515.00,815.00,1335.00,1820.00,1590.00,80.00,30.00,45.00,0.00,40.00,2665.00,1980.00,1900.00,80.00,695.00,3310.00,795.00,2235.00,280.00,335.00,45.00,215.00,70.00,1220.00,1160.00,60.00,0.00
"4590402.00",2655.00,2640.00,805.00,1835.00,20.00,2660.00,2575.00,80.00,0.00,1900.00,375.00,455.00,1070.00,1380.00,1265.00,15.00,80.00,0.00,0.00,0.00,1900.00,1480.00,1455.00,25.00,415.00,2660.00,800.00,1645.00,215.00,170.00,25.00,135.00,10.00,875.00,795.00,80.00,0.00
"4620000.00",3752470.00,3464175.00,725835.00,2738340.00,288295.00,3752475.00,2847210.00,846645.00,58615.00,3120055.00,607545.00,685800.00,1826715.00,1779365.00,1181980.00,60155.00,395685.00,95165.00,31075.00,15310.00,3120055.00,2056140.00,1897615.00,158525.00,1063920.00,3752475.00,774060.00,2473465.00,504950.00,672525.00,144515.00,435275.00,92730.00,1613290.00,887040.00,726250.00,0.00
"4620001.00",2570.00,2515.00,400.00,2115.00,55.00,2565.00,2295.00,260.00,0.00,2230.00,550.00,555.00,1120.00,1305.00,940.00,25.00,270.00,40.00,25.00,0.00,2230.00,1450.00,1360.00,100.00,775.00,2570.00,400.00,1795.00,370.00,430.00,85.00,280.00,65.00,1320.00,615.00,700.00,0.00
"4620002.00",3040.00,2875.00,450.00,2425.00,160.00,3040.00,2590.00,410.00,40.00,2650.00,905.00,550.00,1195.00,1305.00,705.00,0.00,470.00,65.00,0.00,15.00,2650.00,1530.00,1345.00,180.00,1120.00,3040.00,485.00,1990.00,565.00,605.00,55.00,395.00,155.00,1545.00,525.00,1025.00,0.00
"4620003.00",6165.00,5890.00,1000.00,4895.00,275.00,6165.00,5000.00,1100.00,60.00,5275.00,1460.00,1280.00,2535.00,3070.00,1705.00,135.00,1075.00,90.00,50.00,0.00,5275.00,3515.00,3215.00,300.00,1760.00,6165.00,1075.00,4110.00,980.00,1150.00,275.00,735.00,145.00,2870.00,1260.00,1615.00,0.00
"4620004.00",3180.00,3075.00,470.00,2605.00,100.00,3175.00,2795.00,355.00,30.00,2775.00,820.00,610.00,1350.00,1485.00,735.00,35.00,620.00,65.00,35.00,0.00,2775.00,1710.00,1565.00,150.00,1065.00,3175.00,480.00,2175.00,515.00,600.00,70.00,450.00,80.00,1615.00,615.00,1000.00,0.00
"4620005.00",3105.00,2950.00,440.00,2510.00,155.00,3105.00,2805.00,255.00,40.00,2745.00,805.00,745.00,1195.00,1580.00,925.00,85.00,460.00,70.00,25.00,0.00,2745.00,1790.00,1690.00,105.00,950.00,3105.00,440.00,2145.00,520.00,655.00,95.00,420.00,140.00,1635.00,665.00,965.00,0.00
"4620006.00",4405.00,4055.00,900.00,3155.00,350.00,4405.00,3645.00,710.00,50.00,3640.00,1070.00,830.00,1740.00,1975.00,1020.00,120.00,720.00,65.00,0.00,35.00,3640.00,2265.00,2075.00,190.00,1375.00,4405.00,950.00,2925.00,525.00,1260.00,295.00,785.00,180.00,2020.00,530.00,1485.00,0.00
"4620007.00",5660.00,5260.00,820.00,4445.00,395.00,5660.00,4590.00,955.00,120.00,4940.00,1200.00,1135.00,2610.00,2795.00,1305.00,105.00,1110.00,200.00,50.00,20.00,4940.00,3130.00,2910.00,225.00,1810.00,5660.00,930.00,3780.00,950.00,1225.00,275.00,695.00,255.00,2815.00,1390.00,1430.00,0.00
"4620008.00",2940.00,2890.00,535.00,2360.00,50.00,2940.00,2610.00,320.00,0.00,2510.00,510.00,585.00,1410.00,1595.00,955.00,35.00,565.00,35.00,0.00,0.00,2510.00,1770.00,1705.00,65.00,740.00,2940.00,535.00,1995.00,410.00,470.00,105.00,310.00,55.00,1405.00,675.00,730.00,0.00
"4620009.00",3380.00,3260.00,510.00,2745.00,115.00,3375.00,2945.00,425.00,10.00,2955.00,920.00,610.00,1425.00,1795.00,1035.00,40.00,550.00,145.00,15.00,0.00,2955.00,2015.00,1845.00,170.00,940.00,3375.00,535.00,2445.00,395.00,750.00,100.00,525.00,125.00,1665.00,700.00,965.00,0.00
"4620010.00",1480.00,1375.00,215.00,1160.00,105.00,1480.00,1230.00,245.00,0.00,1285.00,295.00,275.00,715.00,575.00,335.00,0.00,195.00,15.00,15.00,0.00,1285.00,730.00,635.00,100.00,560.00,1480.00,235.00,985.00,265.00,460.00,100.00,310.00,50.00,745.00,310.00,430.00,0.00
"4620011.00",5700.00,5145.00,845.00,4300.00,555.00,5700.00,4235.00,1420.00,50.00,4885.00,920.00,880.00,3080.00,2790.00,1285.00,40.00,1260.00,115.00,60.00,25.00,4880.00,3235.00,2965.00,270.00,1645.00,5700.00,955.00,3835.00,915.00,1160.00,215.00,715.00,235.00,2845.00,1415.00,1430.00,0.00
"4620012.01",2385.00,2175.00,285.00,1890.00,210.00,2380.00,1760.00,620.00,0.00,2120.00,480.00,500.00,1140.00,1085.00,435.00,50.00,505.00,75.00,0.00,0.00,2120.00,1185.00,1115.00,70.00,935.00,2385.00,320.00,1535.00,535.00,440.00,60.00,260.00,115.00,1300.00,155.00,1150.00,0.00
"4620012.02",3925.00,3020.00,430.00,2590.00,905.00,3925.00,2390.00,1390.00,150.00,3405.00,985.00,650.00,1775.00,1640.00,665.00,25.00,805.00,100.00,30.00,0.00,3410.00,1945.00,1680.00,265.00,1460.00,3925.00,630.00,2665.00,630.00,1405.00,305.00,895.00,205.00,2025.00,210.00,1815.00,0.00
"4620013.00",4740.00,4560.00,495.00,4065.00,185.00,4745.00,4115.00,595.00,30.00,4295.00,1055.00,1070.00,2170.00,2205.00,910.00,75.00,930.00,250.00,25.00,20.00,4295.00,2465.00,2305.00,160.00,1830.00,4745.00,500.00,3110.00,1125.00,870.00,120.00,515.00,235.00,2715.00,940.00,1775.00,0.00
"4620014.01",6585.00,5790.00,965.00,4825.00,795.00,6585.00,5025.00,1475.00,80.00,5785.00,1070.00,1070.00,3645.00,3520.00,1275.00,100.00,1710.00,290.00,115.00,30.00,5790.00,3990.00,3720.00,270.00,1795.00,6585.00,1020.00,4980.00,585.00,1885.00,440.00,1260.00,190.00,3640.00,1295.00,2345.00,0.00
"4620015.00",3925.00,3710.00,625.00,3085.00,215.00,3925.00,3405.00,510.00,0.00,3335.00,705.00,585.00,2040.00,2040.00,955.00,90.00,695.00,150.00,135.00,20.00,3330.00,2320.00,2125.00,195.00,1015.00,3920.00,640.00,3040.00,245.00,1270.00,235.00,910.00,125.00,2125.00,540.00,1585.00,0.00
