"","census_id","CLSC_code","census_type"
"5987","4210017.00","03124","CT"
"5989","4210018.00","03124","CT"
"5992","4210019.00","03124","CT"
"5999","4210020.00","03125","CT"
"6005","4210021.00","03125","CT"
"6011","4210022.00","03125","CT"
"6016","4210023.00","03125","CT"
"6019","4210024.00","03125","CT"
"6022","4210025.00","03125","CT"
"6025","4210026.00","03126","CT"
"6037","4210027.00","03126","CT"
"6042","4210028.00","03126","CT"
"60481","4210029.00","03126","CT"
"6052","4210030.00","03126","CT"
"6060","4210031.00","03126","CT"
"60651","4210033.01","03126","CT"
"6072","4210033.02","03126","CT"
"6079","4210034.00","03126","CT"
"6088","4210035.00","03126","CT"
"6092","4210036.00","03126","CT"
"6101","4210037.00","03126","CT"
"6109","4210038.01","03126","CT"
"6119","4210038.02","03126","CT"
"6144","4210039.02","03122","CT"
"6152","4210040.01","03122","CT"
"61591","4210040.03","03122","CT"
"6175","4210041.02","03122","CT"
"6182","4210041.03","03131","CT"
"6188","4210041.04","03131","CT"
"6203","4210041.05","03131","CT"
"6210","4210041.06","03131","CT"
"6218","4210041.07","03131","CT"
"6223","4210041.08","03131","CT"
"6238","4210100.00","03123","CT"
"6244","4210101.00","03123","CT"
"6253","4210102.00","03123","CT"
"6256","4210103.00","03123","CT"
"6264","4210110.00","03123","CT"
"6272","4210111.00","03123","CT"
"6282","4210112.01","03123","CT"
"6289","4210112.02","03123","CT"
"6296","4210113.01","03123","CT"
"6307","4210113.02","03123","CT"
"6317","4210114.00","03123","CT"
"6328","4210115.00","03123","CT"
"6333","4210116.00","03123","CT"
"6349","4210117.01","03123","CT"
"6354","4210117.02","03123","CT"
"6363","4210118.00","03123","CT"
"6376","4210119.02","03121","CT"
"6407","4210119.04","03121","CT"
"6414","4210120.01","03121","CT"
"6424","4210120.02","03121","CT"
"6433","4210120.03","03121","CT"
"6478","4210160.01","03131","CT"
"6489","4210160.03","03131","CT"
"6498","4210170.03","03131","CT"
"6505","4210170.04","03131","CT"
"6511","4210170.05","03131","CT"
"6523","4210170.06","03131","CT"
"6531","4210170.07","03131","CT"
"6551","4210210.01","03132","CT"
"6562","4210210.02","03132","CT"
"6568","4210220.01","03132","CT"
"6582","4210220.02","03132","CT"
"6592","4210230.01","03131","CT"
"6609","4210230.02","03131","CT"
"6638","4210240.02","03122","CT"
"6653","4210260.01","03126","CT"
"6659","4210260.02","03126","CT"
"6667","4210260.03","03126","CT"
"6693","4210270.03","03132","CT"
"6698","4210270.04","03132","CT"
"6707","4210271.01","03132","CT"
"6716","4210271.02","03132","CT"
"6723","4210272.00","03132","CT"
"6727","4210273.01","03132","CT"
"6737","4210273.02","03132","CT"
"6745","4210273.03","03132","CT"
"6752","4210273.04","03132","CT"
"6760","4210280.01","03132","CT"
"6768","4210280.02","03132","CT"
"6778","4210280.03","03132","CT"
"6787","4210290.01","03132","CT"
"6799","4210290.03","03132","CT"
"6803","4210290.04","03132","CT"
"6813","4210300.00","03133","CT"
"6820","4210310.00","03133","CT"
"6827","4210311.01","03133","CT"
"6841","4210311.02","03133","CT"
"6846","4210320.01","03133","CT"
"6861","4210320.02","03133","CT"
"6871","4210320.03","03133","CT"
"6878","4210320.04","03133","CT"
"6886","4210320.05","03133","CT"
"6892","4210320.07","03133","CT"
"6902","4210320.08","03133","CT"
"6909","4210330.00","03133","CT"
"6915","4210340.01","03133","CT"
"6921","4210340.02","03133","CT"
"6931","4210340.03","03133","CT"
"6942","4210360.01","03133","CT"
"6953","4210360.02","03133","CT"
"7073","4210800.01","12113","CT"
"7086","4210800.02","12113","CT"
"7096","4210801.00","12113","CT"
"7103","4210802.00","12113","CT"
"7109","4210810.00","12113","CT"
"7116","4210811.00","12113","CT"
"7129","4210812.00","12113","CT"
"7140","4210820.01","12113","CT"
"7149","4210820.03","12113","CT"
"7168","4210825.00","12113","CT"
"7184","4210830.01","12112","CT"
"7192","4210830.02","12112","CT"
"7200","4210835.03","12112","CT"
"7209","4210835.04","12112","CT"
"7218","4210835.05","12112","CT"
"7227","4210835.06","12112","CT"
"7231","4210835.07","12112","CT"
"7240","4210840.01","12112","CT"
"7250","4210840.02","12112","CT"
"7259","4210845.03","12112","CT"
"7265","4210845.04","12112","CT"
"7275","4210846.02","12112","CT"
"7286","4210846.03","12112","CT"
"7289","4210846.04","12112","CT"
"7303","4210850.02","12112","CT"
"7307","4210850.03","12112","CT"
"7313","4210850.04","12112","CT"
"7317","4210850.05","12112","CT"
"7708","4420001.00","04151","CT"
"7713","4420002.00","04151","CT"
"7719","4420003.00","04151","CT"
"7725","4420004.00","04151","CT"
"7735","4420005.00","04151","CT"
"7740","4420006.00","04151","CT"
"7746","4420007.00","04151","CT"
"7752","4420008.00","04151","CT"
"7757","4420009.00","04151","CT"
"7761","4420010.00","04151","CT"
"7769","4420011.00","04151","CT"
"7774","4420012.01","04151","CT"
"7779","4420012.02","04151","CT"
"7789","4420013.01","04151","CT"
"7798","4420013.02","04151","CT"
"7803","4420013.03","04151","CT"
"7810","4420100.01","04151","CT"
"7821","4420100.02","04151","CT"
"7828","4420101.02","04151","CT"
