"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37"
"5050007.03",3715.00,3595.00,755.00,2835.00,120.00,3715.00,2760.00,925.00,0.00,3100.00,510.00,695.00,1895.00,1565.00,1010.00,90.00,340.00,65.00,35.00,25.00,3100.00,1790.00,1700.00,90.00,1310.00,3715.00,760.00,2115.00,835.00,280.00,95.00,165.00,10.00,1445.00,1200.00,235.00,0.00
"5050008.00",4585.00,4425.00,695.00,3725.00,165.00,4590.00,3485.00,1095.00,0.00,4010.00,655.00,1135.00,2220.00,2110.00,1410.00,175.00,405.00,60.00,45.00,15.00,4010.00,2455.00,2275.00,180.00,1555.00,4585.00,735.00,2805.00,1050.00,485.00,160.00,270.00,55.00,2090.00,1135.00,955.00,0.00
"5050009.00",3300.00,3050.00,485.00,2560.00,250.00,3300.00,2385.00,850.00,65.00,2825.00,315.00,765.00,1750.00,1615.00,905.00,105.00,445.00,65.00,85.00,15.00,2825.00,1830.00,1700.00,130.00,1000.00,3300.00,565.00,2170.00,565.00,255.00,45.00,185.00,20.00,1430.00,1010.00,420.00,0.00
"5050010.00",3775.00,3395.00,785.00,2620.00,375.00,3775.00,2245.00,1505.00,25.00,3135.00,775.00,955.00,1400.00,1570.00,720.00,105.00,645.00,70.00,0.00,0.00,3135.00,1810.00,1645.00,170.00,1320.00,3775.00,850.00,2475.00,450.00,1460.00,435.00,935.00,85.00,1695.00,550.00,1150.00,0.00
"5050011.01",6665.00,6160.00,1075.00,5085.00,500.00,6665.00,4575.00,1970.00,115.00,5660.00,1030.00,1475.00,3160.00,3170.00,1655.00,185.00,1005.00,250.00,75.00,0.00,5665.00,3600.00,3305.00,305.00,2060.00,6660.00,1175.00,4455.00,1030.00,1355.00,385.00,820.00,150.00,2970.00,1565.00,1400.00,0.00
"5050011.03",4075.00,3295.00,170.00,3125.00,785.00,4075.00,2470.00,1220.00,385.00,3855.00,200.00,830.00,2825.00,1930.00,785.00,55.00,915.00,100.00,75.00,0.00,3860.00,2275.00,2080.00,200.00,1585.00,4075.00,265.00,2900.00,910.00,1030.00,180.00,820.00,30.00,2310.00,770.00,1535.00,0.00
"5050011.04",4080.00,3450.00,715.00,2735.00,635.00,4080.00,2555.00,1330.00,195.00,3440.00,400.00,710.00,2330.00,1965.00,905.00,60.00,585.00,265.00,145.00,0.00,3435.00,2305.00,2090.00,215.00,1135.00,4085.00,790.00,2920.00,375.00,820.00,175.00,540.00,110.00,1845.00,935.00,910.00,0.00
"5050012.00",4610.00,4155.00,1305.00,2850.00,455.00,4610.00,3185.00,1245.00,175.00,3405.00,1110.00,950.00,1345.00,1525.00,720.00,140.00,560.00,75.00,25.00,0.00,3405.00,1845.00,1590.00,255.00,1560.00,4610.00,1435.00,2830.00,350.00,1880.00,770.00,1095.00,20.00,1630.00,500.00,1130.00,0.00
"5050013.00",5000.00,4570.00,805.00,3770.00,425.00,5000.00,3675.00,1270.00,45.00,4300.00,755.00,1100.00,2445.00,2345.00,1300.00,60.00,655.00,115.00,175.00,35.00,4300.00,2710.00,2500.00,215.00,1585.00,4995.00,870.00,3520.00,610.00,1265.00,355.00,835.00,70.00,2485.00,1050.00,1435.00,0.00
"5050014.00",1930.00,1800.00,550.00,1245.00,125.00,1935.00,1200.00,715.00,15.00,1445.00,425.00,350.00,670.00,610.00,245.00,0.00,240.00,75.00,30.00,0.00,1445.00,815.00,690.00,125.00,635.00,1935.00,575.00,1210.00,145.00,965.00,375.00,565.00,20.00,870.00,110.00,760.00,0.00
"5050015.00",4940.00,4305.00,370.00,3930.00,635.00,4945.00,3545.00,1115.00,285.00,4585.00,195.00,940.00,3455.00,2935.00,1075.00,155.00,945.00,535.00,215.00,15.00,4585.00,3465.00,3170.00,295.00,1120.00,4940.00,405.00,4165.00,370.00,1200.00,95.00,1060.00,45.00,2605.00,810.00,1790.00,0.00
"5050016.00",4465.00,4335.00,1005.00,3330.00,130.00,4460.00,3715.00,720.00,25.00,3635.00,255.00,560.00,2810.00,2240.00,1105.00,135.00,360.00,255.00,345.00,40.00,3635.00,2670.00,2550.00,115.00,965.00,4465.00,1010.00,2935.00,520.00,430.00,125.00,295.00,15.00,1785.00,1405.00,380.00,0.00
"5050017.00",3870.00,3735.00,945.00,2785.00,140.00,3870.00,3100.00,740.00,25.00,3065.00,215.00,470.00,2385.00,1940.00,790.00,135.00,490.00,330.00,160.00,35.00,3065.00,2355.00,2200.00,155.00,710.00,3870.00,960.00,2555.00,360.00,310.00,55.00,215.00,0.00,1485.00,1165.00,320.00,0.00
"5050018.00",3510.00,3365.00,550.00,2820.00,145.00,3510.00,2805.00,675.00,35.00,3005.00,165.00,390.00,2445.00,2010.00,750.00,120.00,375.00,515.00,220.00,0.00,3005.00,2300.00,2175.00,130.00,700.00,3510.00,560.00,2560.00,390.00,250.00,30.00,195.00,25.00,1725.00,750.00,980.00,0.00
"5050019.00",3875.00,3745.00,745.00,3005.00,125.00,3875.00,3170.00,690.00,15.00,3240.00,190.00,570.00,2485.00,1890.00,765.00,75.00,355.00,305.00,340.00,45.00,3245.00,2295.00,2100.00,190.00,945.00,3875.00,740.00,2515.00,620.00,335.00,60.00,250.00,25.00,1700.00,1115.00,585.00,0.00
"5050020.01",5495.00,4800.00,685.00,4115.00,690.00,5495.00,3485.00,1660.00,355.00,4860.00,665.00,1310.00,2885.00,2715.00,1265.00,145.00,1050.00,125.00,115.00,20.00,4855.00,3220.00,2815.00,405.00,1640.00,5495.00,795.00,4050.00,650.00,1725.00,370.00,1320.00,40.00,2590.00,1170.00,1420.00,0.00
"5050020.02",2865.00,2720.00,615.00,2105.00,145.00,2865.00,1970.00,895.00,0.00,2355.00,425.00,495.00,1430.00,1335.00,910.00,125.00,210.00,50.00,20.00,20.00,2355.00,1600.00,1455.00,140.00,755.00,2865.00,650.00,1735.00,480.00,245.00,105.00,125.00,0.00,1025.00,870.00,155.00,0.00
"5050021.00",5905.00,5380.00,960.00,4420.00,525.00,5910.00,4305.00,1465.00,140.00,4965.00,1150.00,1200.00,2615.00,3025.00,1670.00,155.00,845.00,215.00,120.00,20.00,4965.00,3345.00,3155.00,190.00,1620.00,5910.00,1145.00,4125.00,640.00,1385.00,345.00,1010.00,30.00,2745.00,1050.00,1695.00,0.00
