"COL0","COL1","COL2","COL3","COL4"
"2450013",425.00,100.00,265.00,60.00
"2450023",1155.00,230.00,730.00,200.00
"2450030",835.00,125.00,525.00,185.00
"2450035",575.00,115.00,365.00,95.00
"2450042",2330.00,435.00,1460.00,430.00
"2450050",960.00,160.00,615.00,185.00
"2450057",500.00,90.00,325.00,85.00
"2450065",475.00,75.00,325.00,75.00
"2450072",8170.00,1130.00,4875.00,2160.00
"2450085",325.00,50.00,230.00,50.00
"2450090",700.00,125.00,455.00,120.00
"2450095",270.00,65.00,170.00,40.00
"2450100",985.00,145.00,650.00,190.00
"2450113",2145.00,295.00,1310.00,540.00
"2450128",1965.00,255.00,1190.00,525.00
"2450802",450.00,70.00,315.00,65.00
"2451008",2320.00,330.00,1450.00,535.00
"2451015",7155.00,700.00,4190.00,2255.00
"2451020",2830.00,505.00,1820.00,505.00
"2451025",1195.00,190.00,790.00,215.00
"2451030",300.00,55.00,185.00,60.00
"2451035",925.00,135.00,615.00,175.00
"2451040",1330.00,160.00,845.00,325.00
"2451045",975.00,110.00,625.00,235.00
"2451050",710.00,85.00,465.00,165.00
"2451055",595.00,60.00,375.00,160.00
"2451060",1500.00,220.00,955.00,320.00
"2451065",2980.00,295.00,1825.00,855.00
"2451070",1340.00,165.00,820.00,355.00
"2451075",1835.00,260.00,1155.00,420.00
"2451080",955.00,130.00,625.00,200.00
"2451085",4830.00,990.00,3035.00,815.00
"2451090",4540.00,910.00,2935.00,695.00
"2452007",13655.00,2610.00,9180.00,1870.00
"2452017",4790.00,810.00,3040.00,940.00
"2452030",1460.00,235.00,935.00,285.00
"2452035",4185.00,490.00,2560.00,1140.00
"2452040",2280.00,325.00,1560.00,395.00
"2452045",2050.00,270.00,1275.00,505.00
"2452050",625.00,75.00,385.00,170.00
"2452055",1930.00,255.00,1245.00,435.00
"2452062",1860.00,280.00,1180.00,405.00
"2452070",1005.00,155.00,685.00,170.00
"2452075",225.00,35.00,150.00,40.00
"2452080",2640.00,315.00,1515.00,810.00
"2452085",2635.00,310.00,1665.00,665.00
"2452090",655.00,80.00,380.00,190.00
"2452095",2190.00,210.00,1360.00,620.00
