"COL0","COL1","COL2","COL3","COL4"
"24050066",635.00,100.00,410.00,125.00
"24050067",545.00,95.00,345.00,110.00
"24050068",575.00,95.00,375.00,110.00
"24050069",420.00,65.00,275.00,80.00
"24050070",730.00,120.00,450.00,160.00
"2406",14460.00,2185.00,8920.00,3360.00
"24060034",650.00,180.00,425.00,55.00
"24060035",605.00,65.00,310.00,230.00
"24060036",440.00,80.00,275.00,85.00
"24060037",465.00,50.00,230.00,180.00
"24060038",535.00,85.00,335.00,110.00
"24060039",570.00,105.00,400.00,65.00
"24060040",510.00,70.00,295.00,150.00
"24060041",660.00,85.00,435.00,140.00
"24060042",400.00,45.00,245.00,110.00
"24060043",740.00,145.00,440.00,160.00
"24060044",330.00,40.00,190.00,105.00
"24060045",425.00,45.00,270.00,115.00
"24060046",450.00,75.00,285.00,85.00
"24060047",550.00,75.00,345.00,135.00
"24060048",480.00,65.00,280.00,130.00
"24060049",345.00,35.00,215.00,100.00
"24060050",360.00,45.00,225.00,85.00
"24060051",470.00,55.00,310.00,105.00
"24060052",540.00,80.00,375.00,90.00
"24060053",470.00,55.00,290.00,125.00
"24060054",265.00,65.00,180.00,10.00
"24060055",605.00,180.00,365.00,55.00
"24060056",495.00,80.00,320.00,100.00
"24060057",410.00,70.00,280.00,60.00
"24060058",,,,
"24060061",170.00,25.00,100.00,50.00
"24060062",645.00,75.00,385.00,185.00
"24060063",160.00,15.00,110.00,35.00
"24060064",500.00,50.00,275.00,175.00
"24060065",300.00,40.00,185.00,85.00
"24060066",340.00,30.00,205.00,105.00
"24060067",165.00,15.00,90.00,60.00
"24060068",,,,
"24060069",,,,
"24060071",370.00,60.00,230.00,80.00
"2407",17925.00,2610.00,11150.00,4160.00
"24070049",,,,
"24070050",50.00,10.00,30.00,10.00
"24070051",165.00,20.00,110.00,40.00
"24070052",480.00,60.00,310.00,105.00
"24070053",400.00,60.00,250.00,90.00
"24070054",420.00,45.00,260.00,110.00
"24070055",395.00,45.00,270.00,80.00
"24070056",605.00,60.00,335.00,210.00
"24070057",485.00,80.00,265.00,140.00
"24070058",550.00,70.00,340.00,145.00
"24070059",410.00,70.00,230.00,110.00
"24070060",560.00,95.00,370.00,95.00
"24070061",655.00,150.00,425.00,80.00
"24070062",465.00,60.00,295.00,105.00
"24070063",585.00,120.00,345.00,120.00
"24070064",455.00,30.00,225.00,200.00
"24070065",430.00,55.00,255.00,120.00
"24070066",465.00,40.00,280.00,145.00
"24070067",460.00,65.00,255.00,135.00
"24070068",455.00,70.00,300.00,85.00
"24070069",575.00,120.00,380.00,75.00
"24070070",460.00,35.00,290.00,130.00
"24070071",615.00,110.00,410.00,100.00
"24070072",500.00,90.00,310.00,100.00
"24070073",425.00,65.00,245.00,115.00
"24070074",175.00,20.00,110.00,40.00
"24070075",310.00,55.00,190.00,70.00
"24070076",615.00,85.00,370.00,155.00
"24070077",240.00,25.00,170.00,55.00
"24070078",430.00,60.00,275.00,85.00
"24070079",330.00,50.00,225.00,55.00
"24070080",580.00,90.00,345.00,145.00
"24070081",400.00,60.00,250.00,90.00
