"COL0","COL1","COL2","COL3","COL4"
"4470013.00",1390.00,365.00,855.00,170.00
"4470014.00",5905.00,1240.00,4010.00,660.00
"4470015.00",5815.00,1170.00,3950.00,695.00
"4470100.00",800.00,180.00,525.00,100.00
"4470101.00",4920.00,1060.00,3240.00,615.00
"4470102.00",2540.00,490.00,1715.00,335.00
"4470103.00",1560.00,275.00,915.00,365.00
"4470104.00",945.00,145.00,635.00,170.00
"4470105.00",765.00,185.00,470.00,110.00
"4470106.00",1305.00,215.00,825.00,265.00
"4470107.00",905.00,180.00,620.00,100.00
"4500000.00",85055.00,13960.00,53785.00,17310.00
"4500001.00",7625.00,1540.00,4595.00,1495.00
"4500002.00",7450.00,1460.00,4645.00,1345.00
"4500003.00",,,,
"4500004.00",5700.00,895.00,3850.00,950.00
"4500005.00",4500.00,395.00,2640.00,1470.00
"4500006.00",2975.00,405.00,1860.00,710.00
"4500007.00",2970.00,400.00,1845.00,720.00
"4500008.00",2095.00,290.00,1310.00,495.00
"4500009.00",4775.00,820.00,3180.00,775.00
"4500010.00",4295.00,665.00,2875.00,755.00
"4500011.00",3910.00,310.00,1595.00,2010.00
"4500012.00",4075.00,565.00,2475.00,1035.00
"4500013.00",3420.00,500.00,2115.00,805.00
"4500014.00",2700.00,455.00,1825.00,410.00
"4500015.00",4725.00,905.00,3210.00,605.00
"4500016.00",4985.00,830.00,3425.00,735.00
"4500100.00",9040.00,1645.00,5720.00,1670.00
"4500200.00",3090.00,690.00,2135.00,270.00
"4500201.00",2890.00,500.00,1920.00,470.00
"4500202.00",3810.00,695.00,2535.00,575.00
"4620000.00",4098930.00,691350.00,2735885.00,671695.00
"4620001.00",2635.00,330.00,1890.00,420.00
"4620002.00",3515.00,550.00,2390.00,575.00
"4620003.00",6375.00,990.00,4320.00,1065.00
"4620004.00",3175.00,385.00,2210.00,580.00
"4620005.00",3060.00,410.00,2125.00,530.00
"4620006.00",4470.00,800.00,3090.00,575.00
"4620007.00",5685.00,745.00,3940.00,995.00
"4620008.00",3015.00,460.00,2120.00,440.00
