"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24"
"4080169.00",365.00,265.00,160.00,105.00,0.00,100.00,95.00,5.00,820.00,820.00,155.00,665.00,0.00,820.00,815.00,0.00,0.00,365.00,295.00,75.00,0.00,365.00,295.00,70.00
"4210000.00",361890.00,219070.00,102705.00,116370.00,1415.00,141405.00,127555.00,13850.00,779085.00,756400.00,141745.00,614655.00,22685.00,779085.00,729155.00,44550.00,5380.00,361895.00,217925.00,143935.00,35.00,360195.00,296060.00,64135.00
"4210001.01",2840.00,895.00,555.00,340.00,0.00,1945.00,1795.00,150.00,4300.00,4090.00,325.00,3760.00,210.00,4300.00,3850.00,385.00,65.00,2845.00,735.00,2110.00,0.00,2845.00,1695.00,1150.00
"4210001.02",1730.00,850.00,455.00,400.00,5.00,870.00,765.00,105.00,3290.00,2995.00,395.00,2600.00,295.00,3285.00,2755.00,375.00,160.00,1715.00,945.00,775.00,0.00,1720.00,1360.00,360.00
"4210002.00",805.00,360.00,200.00,165.00,0.00,440.00,395.00,45.00,1325.00,1310.00,95.00,1210.00,15.00,1325.00,1290.00,40.00,0.00,810.00,315.00,500.00,0.00,805.00,670.00,140.00
"4210003.00",3950.00,1665.00,1115.00,555.00,5.00,2280.00,2035.00,245.00,6655.00,6235.00,485.00,5755.00,420.00,6660.00,5720.00,770.00,165.00,3950.00,1685.00,2265.00,0.00,3950.00,3005.00,950.00
"4210004.00",365.00,135.00,95.00,40.00,0.00,230.00,215.00,15.00,575.00,545.00,30.00,520.00,25.00,570.00,545.00,15.00,15.00,380.00,160.00,225.00,0.00,375.00,295.00,80.00
"4210005.00",2040.00,865.00,555.00,310.00,0.00,1175.00,1065.00,110.00,3420.00,3245.00,260.00,2985.00,180.00,3420.00,3040.00,310.00,80.00,2075.00,860.00,1215.00,0.00,2070.00,1525.00,545.00
"4210006.00",2820.00,1050.00,575.00,470.00,5.00,1765.00,1580.00,180.00,4740.00,4425.00,560.00,3865.00,315.00,4735.00,4105.00,520.00,110.00,2815.00,895.00,1925.00,0.00,2815.00,2105.00,710.00
"4210007.00",1285.00,475.00,265.00,210.00,0.00,810.00,725.00,90.00,2120.00,2015.00,240.00,1775.00,105.00,2120.00,1925.00,185.00,10.00,1280.00,270.00,1010.00,0.00,1275.00,975.00,305.00
"4210008.00",860.00,325.00,195.00,140.00,0.00,535.00,455.00,75.00,1430.00,1385.00,160.00,1225.00,50.00,1435.00,1345.00,70.00,25.00,840.00,165.00,670.00,0.00,840.00,590.00,245.00
"4210009.00",1305.00,425.00,245.00,175.00,0.00,880.00,765.00,115.00,2100.00,1990.00,175.00,1820.00,110.00,2105.00,1900.00,160.00,35.00,1330.00,170.00,1160.00,0.00,1330.00,900.00,435.00
"4210010.00",1420.00,610.00,275.00,340.00,5.00,805.00,730.00,75.00,2525.00,2350.00,355.00,1995.00,170.00,2520.00,2290.00,220.00,15.00,1465.00,420.00,1045.00,0.00,1465.00,1080.00,385.00
