"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7"
"4210117.01",2940.00,490.00,1925.00,460.00,95.00,335.00,30.00
"4210117.02",4625.00,395.00,2580.00,895.00,85.00,640.00,175.00
"4210118.00",6170.00,960.00,4355.00,955.00,170.00,700.00,80.00
"4210119.02",4535.00,730.00,2830.00,320.00,55.00,180.00,90.00
"4210119.03",8205.00,1765.00,5565.00,375.00,90.00,230.00,55.00
"4210119.04",2970.00,580.00,1940.00,145.00,30.00,80.00,35.00
"4210120.01",3090.00,545.00,1660.00,185.00,30.00,100.00,55.00
"4210120.02",6065.00,1155.00,3920.00,200.00,40.00,120.00,35.00
"4210120.03",3525.00,660.00,2120.00,80.00,10.00,45.00,25.00
"4210140.01",7270.00,1705.00,4445.00,180.00,35.00,85.00,60.00
"4210140.02",4320.00,660.00,2675.00,505.00,80.00,230.00,185.00
"4210140.03",4665.00,710.00,2970.00,230.00,25.00,115.00,85.00
"4210160.01",5100.00,900.00,3125.00,755.00,180.00,395.00,185.00
"4210160.03",4220.00,865.00,2525.00,325.00,70.00,185.00,75.00
"4210160.04",0.00,0.00,0.00,0.00,0.00,0.00,0.00
"4210160.05",4675.00,760.00,2925.00,495.00,40.00,285.00,165.00
"4210170.03",5465.00,1485.00,3485.00,325.00,70.00,170.00,85.00
"4210170.04",6370.00,1790.00,4270.00,245.00,75.00,140.00,30.00
"4210170.05",6220.00,1605.00,4040.00,460.00,120.00,250.00,90.00
"4210170.06",4740.00,1175.00,3085.00,280.00,80.00,135.00,60.00
"4210170.07",5615.00,1305.00,3705.00,350.00,75.00,180.00,95.00
"4210190.00",3015.00,860.00,1890.00,160.00,45.00,95.00,25.00
"4210200.00",8965.00,2320.00,5755.00,510.00,75.00,315.00,120.00
"4210210.01",5485.00,1410.00,3600.00,295.00,55.00,165.00,70.00
"4210210.02",4600.00,990.00,2885.00,265.00,40.00,135.00,80.00
"4210220.01",9395.00,2275.00,5965.00,515.00,90.00,265.00,160.00
"4210220.02",6315.00,1400.00,4015.00,390.00,70.00,195.00,120.00
"4210230.01",7335.00,1620.00,4865.00,320.00,70.00,155.00,95.00
"4210230.02",8240.00,2450.00,5210.00,375.00,100.00,195.00,75.00
"4210240.01",7845.00,1360.00,5170.00,485.00,115.00,285.00,90.00
"4210240.02",6345.00,665.00,3990.00,375.00,25.00,220.00,125.00
"4210260.01",3740.00,535.00,2285.00,1230.00,185.00,665.00,375.00
"4210260.02",3190.00,385.00,1910.00,815.00,115.00,435.00,260.00
