"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9","COL10","COL11","COL12","COL13","COL14","COL15","COL16","COL17","COL18","COL19","COL20","COL21","COL22","COL23","COL24","COL25","COL26","COL27","COL28","COL29","COL30","COL31","COL32","COL33","COL34","COL35","COL36","COL37"
"5937017",3105.00,2955.00,570.00,2395.00,150.00,3105.00,2610.00,495.00,0.00,2605.00,395.00,700.00,1510.00,2605.00,1640.00,1525.00,115.00,965.00,1390.00,1220.00,55.00,35.00,50.00,0.00,25.00,1220.00,980.00,240.00,0.00,3105.00,620.00,1975.00,510.00,430.00,170.00,190.00,70.00
"5937021",3770.00,3600.00,780.00,2825.00,165.00,3775.00,3285.00,480.00,0.00,3190.00,535.00,875.00,1785.00,3190.00,2045.00,1915.00,130.00,1145.00,1645.00,1420.00,50.00,50.00,55.00,10.00,65.00,1420.00,1200.00,220.00,0.00,3770.00,810.00,2435.00,525.00,485.00,60.00,365.00,70.00
"5937022",2590.00,2520.00,400.00,2125.00,70.00,2590.00,2290.00,290.00,0.00,2275.00,460.00,795.00,1020.00,2275.00,1435.00,1235.00,200.00,835.00,1115.00,970.00,50.00,0.00,0.00,0.00,80.00,1095.00,985.00,115.00,0.00,2590.00,405.00,1690.00,495.00,460.00,80.00,325.00,55.00
"5937024",5045.00,4955.00,1065.00,3890.00,90.00,5050.00,4630.00,410.00,0.00,4235.00,930.00,1460.00,1840.00,4235.00,2825.00,2560.00,265.00,1410.00,2060.00,1705.00,175.00,0.00,100.00,0.00,80.00,1950.00,1665.00,285.00,0.00,5045.00,1070.00,3130.00,840.00,810.00,240.00,450.00,120.00
"5937028",4675.00,4615.00,980.00,3630.00,65.00,4675.00,4315.00,350.00,0.00,3875.00,800.00,1200.00,1870.00,3875.00,2320.00,2155.00,170.00,1555.00,1975.00,1565.00,180.00,20.00,105.00,95.00,0.00,1985.00,1605.00,380.00,0.00,4680.00,995.00,2700.00,980.00,850.00,255.00,445.00,155.00
"5937033",2965.00,2935.00,470.00,2465.00,35.00,2965.00,2740.00,225.00,0.00,2535.00,560.00,805.00,1165.00,2530.00,1210.00,1110.00,100.00,1320.00,1050.00,865.00,105.00,0.00,40.00,30.00,0.00,1415.00,1015.00,400.00,0.00,2965.00,470.00,1645.00,850.00,615.00,190.00,225.00,210.00
"5937041",3860.00,3735.00,735.00,2995.00,125.00,3860.00,3400.00,455.00,0.00,3310.00,825.00,945.00,1545.00,3305.00,2270.00,2085.00,180.00,1040.00,1550.00,1350.00,80.00,0.00,85.00,0.00,20.00,1560.00,1270.00,290.00,0.00,3860.00,750.00,2510.00,600.00,980.00,245.00,570.00,155.00
"5937801",2560.00,2525.00,275.00,2255.00,30.00,2560.00,2320.00,235.00,0.00,2345.00,525.00,790.00,1030.00,2345.00,765.00,640.00,130.00,1575.00,560.00,490.00,30.00,0.00,0.00,0.00,10.00,1235.00,1085.00,105.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"5937802",,,,,,,,,,295.00,105.00,85.00,110.00,295.00,160.00,115.00,45.00,130.00,110.00,85.00,10.00,0.00,0.00,0.00,0.00,150.00,95.00,25.00,35.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"5937803",595.00,595.00,55.00,535.00,0.00,600.00,555.00,45.00,0.00,555.00,135.00,200.00,225.00,560.00,200.00,165.00,35.00,360.00,150.00,135.00,0.00,0.00,0.00,0.00,0.00,335.00,315.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"5939019",7060.00,6825.00,1325.00,5495.00,240.00,7065.00,6330.00,675.00,60.00,5960.00,1090.00,1600.00,3270.00,5960.00,4120.00,3455.00,665.00,1840.00,3250.00,2090.00,265.00,40.00,430.00,375.00,45.00,3075.00,2305.00,770.00,0.00,7065.00,1355.00,4795.00,915.00,905.00,225.00,540.00,135.00
"5939023",550.00,515.00,75.00,435.00,35.00,550.00,425.00,120.00,0.00,485.00,70.00,150.00,260.00,480.00,285.00,280.00,0.00,200.00,275.00,220.00,0.00,0.00,35.00,0.00,0.00,240.00,215.00,25.00,0.00,550.00,75.00,350.00,125.00,100.00,20.00,65.00,0.00
"5939032",16870.00,16380.00,3195.00,13185.00,485.00,16865.00,14950.00,1890.00,25.00,14295.00,2920.00,4295.00,7080.00,14295.00,8395.00,7760.00,635.00,5900.00,6965.00,5625.00,530.00,75.00,565.00,80.00,85.00,7350.00,5565.00,1780.00,0.00,16870.00,3220.00,9895.00,3750.00,2965.00,665.00,1650.00,650.00
"5939037",7600.00,7475.00,1060.00,6415.00,125.00,7600.00,6870.00,735.00,0.00,6770.00,1040.00,1815.00,3915.00,6765.00,3075.00,2745.00,330.00,3695.00,2185.00,1955.00,145.00,0.00,60.00,0.00,25.00,3410.00,3060.00,345.00,0.00,7600.00,1065.00,4360.00,2180.00,1240.00,225.00,780.00,240.00
"5939039",4010.00,3900.00,845.00,3055.00,110.00,4010.00,3650.00,355.00,0.00,3365.00,700.00,940.00,1725.00,3365.00,2250.00,2025.00,225.00,1115.00,1565.00,1405.00,50.00,0.00,20.00,0.00,85.00,1620.00,1360.00,265.00,0.00,4010.00,855.00,2610.00,550.00,1000.00,245.00,605.00,155.00
"5939043",1340.00,1310.00,170.00,1140.00,30.00,1335.00,1195.00,140.00,0.00,1255.00,275.00,530.00,445.00,1255.00,710.00,585.00,125.00,545.00,480.00,380.00,55.00,0.00,25.00,0.00,15.00,605.00,480.00,125.00,0.00,1340.00,165.00,935.00,235.00,500.00,60.00,380.00,55.00
"5939803",,,,,,,,,,60.00,25.00,20.00,20.00,60.00,30.00,25.00,10.00,30.00,20.00,10.00,10.00,0.00,0.00,0.00,0.00,30.00,25.00,10.00,0.00,,,,,,,,
