"","hr.age.pry.HR_code","hr.age.pry.Age","hr.age.pry.Count","hr.age.pry.Sex","hr.age.pry.Year"
"123","1211","/0-4years;Males","1125","Male",2011
"124","1212","/0-4years;Males","1195","Male",2011
"125","1223","/0-4years;Males","1905","Male",2011
"126","1234","/0-4years;Males","2000","Male",2011
"127","1235","/0-4years;Males","650","Male",2011
"128","1246","/0-4years;Males","1080","Male",2011
"129","1247","/0-4years;Males","1010","Male",2011
"130","1258","/0-4years;Males","2785","Male",2011
"131","1269","/0-4years;Males","10795","Male",2011
"132","1301","/0-4years;Males","5130","Male",2011
"133","1302","/0-4years;Males","4700","Male",2011
"134","1303","/0-4years;Males","4775","Male",2011
"135","1304","/0-4years;Males","1135","Male",2011
"136","1305","/0-4years;Males","500","Male",2011
"137","1306","/0-4years;Males","1475","Male",2011
"138","1307","/0-4years;Males","930","Male",2011
"139","2401","/0-4years;Males","5060","Male",2011
"140","2402","/0-4years;Males","7100","Male",2011
"141","2403","/0-4years;Males","18175","Male",2011
"142","2404","/0-4years;Males","13115","Male",2011
"143","2405","/0-4years;Males","8560","Male",2011
"144","2406","/0-4years;Males","54285","Male",2011
"145","2407","/0-4years;Males","11300","Male",2011
"146","2408","/0-4years;Males","4440","Male",2011
"147","2409","/0-4years;Males","2720","Male",2011
"148","2410","/0-4years;Males","425","Male",2011
"149","2411","/0-4years;Males","1835","Male",2011
"150","2412","/0-4years;Males","12175","Male",2011
"151","2413","/0-4years;Males","11810","Male",2011
"152","2414","/0-4years;Males","14375","Male",2011
"153","2415","/0-4years;Males","15805","Male",2011
"154","2416","/0-4years;Males","42375","Male",2011
"155","2417","/0-4years;Males","755","Male",2011
"156","2418","/0-4years;Males","1000","Male",2011
"157","3526","/0-4years;Males","2675","Male",2011
"158","3527","/0-4years;Males","3740","Male",2011
"159","3530","/0-4years;Males","17685","Male",2011
"160","3531","/0-4years;Males","2830","Male",2011
"161","3533","/0-4years;Males","3960","Male",2011
"162","3534","/0-4years;Males","2650","Male",2011
"163","3535","/0-4years;Males","3590","Male",2011
"164","3536","/0-4years;Males","16285","Male",2011
"165","3537","/0-4years;Males","14115","Male",2011
"166","3538","/0-4years;Males","3855","Male",2011
"167","3539","/0-4years;Males","1670","Male",2011
"168","3540","/0-4years;Males","2785","Male",2011
"169","3541","/0-4years;Males","4640","Male",2011
"170","3542","/0-4years;Males","3210","Male",2011
"171","3543","/0-4years;Males","3795","Male",2011
"172","3544","/0-4years;Males","12385","Male",2011
"173","3546","/0-4years;Males","10565","Male",2011
"174","3547","/0-4years;Males","2895","Male",2011
"175","3549","/0-4years;Males","2310","Male",2011
"176","3551","/0-4years;Males","24925","Male",2011
"177","3552","/0-4years;Males","3145","Male",2011
"178","3553","/0-4years;Males","41005","Male",2011
"179","3554","/0-4years;Males","2265","Male",2011
"180","3555","/0-4years;Males","3105","Male",2011
"181","3556","/0-4years;Males","2490","Male",2011
"182","3557","/0-4years;Males","2805","Male",2011
"183","3558","/0-4years;Males","5180","Male",2011
"184","3560","/0-4years;Males","13255","Male",2011
"185","3561","/0-4years;Males","4945","Male",2011
"186","3562","/0-4years;Males","3760","Male",2011
"187","3563","/0-4years;Males","805","Male",2011
"188","3565","/0-4years;Males","15880","Male",2011
"189","3566","/0-4years;Males","7850","Male",2011
"190","3568","/0-4years;Males","10920","Male",2011
