"","hr.age.pry.HR_code","hr.age.pry.Age","hr.age.pry.Count","hr.age.pry.Sex","hr.age.pry.Year"
"57","3547","Total","60890","Male",2016
"58","3549","Total","38230","Male",2016
"59","3551","Total","453875","Male",2016
"60","3552","Total","54740","Male",2016
"61","3553","Total","708925","Male",2016
"62","3554","Total","37620","Male",2016
"63","3555","Total","104050","Male",2016
"64","3556","Total","42540","Male",2016
"65","3557","Total","51745","Male",2016
"66","3558","Total","99685","Male",2016
"67","3560","Total","267245","Male",2016
"68","3561","Total","96585","Male",2016
"69","3562","Total","78330","Male",2016
"70","3563","Total","16445","Male",2016
"71","3565","Total","264260","Male",2016
"72","3566","Total","146395","Male",2016
"73","3568","Total","196250","Male",2016
"74","3570","Total","540770","Male",2016
"75","3595","Total","1313585","Male",2016
"76","4601","Total","352215","Male",2016
"77","4602","Total","81910","Male",2016
"78","4603","Total","65580","Male",2016
"79","4604","Total","36605","Male",2016
"80","4605","Total","96770","Male",2016
"81","4701","Total","28635","Male",2016
"82","4702","Total","27495","Male",2016
"83","4703","Total","21450","Male",2016
"84","4704","Total","139930","Male",2016
"85","4705","Total","27530","Male",2016
"86","4706","Total","173165","Male",2016
"87","4707","Total","21460","Male",2016
"88","4708","Total","20910","Male",2016
"89","4709","Total","38140","Male",2016
"90","4710","Total","37395","Male",2016
"91","4711","Total","11505","Male",2016
"92","4712","Total","5080","Male",2016
"93","4713","Total","2555","Male",2016
"94","4831","Total","145070","Male",2016
"95","4832","Total","773375","Male",2016
"96","4833","Total","232225","Male",2016
"97","4834","Total","659545","Male",2016
"98","4835","Total","228345","Male",2016
"99","5911","Total","40405","Male",2016
"100","5912","Total","40200","Male",2016
"101","5913","Total","175765","Male",2016
"102","5914","Total","109865","Male",2016
"103","5921","Total","146455","Male",2016
"104","5922","Total","313770","Male",2016
"105","5923","Total","386025","Male",2016
"106","5931","Total","94660","Male",2016
"107","5932","Total","317045","Male",2016
"108","5933","Total","137530","Male",2016
"109","5941","Total","184905","Male",2016
"110","5942","Total","131900","Male",2016
"111","5943","Total","59995","Male",2016
"112","5951","Total","37475","Male",2016
"113","5952","Total","71960","Male",2016
"114","5953","Total","34890","Male",2016
"115","6001","Total","17995","Male",2016
"116","6101","Total","21225","Male",2016
"117","6201","Total","18375","Male",2016
"118","1011","0-4","7230","Male",2016
"119","1012","0-4","1675","Male",2016
"120","1013","0-4","1510","Male",2016
"121","1014","0-4","1035","Male",2016
"122","1100","0-4","3660","Male",2016
"123","1211","0-4","1070","Male",2016
"124","1212","0-4","1075","Male",2016
"125","1223","0-4","1865","Male",2016
"126","1234","0-4","1835","Male",2016
"127","1235","0-4","565","Male",2016
"128","1246","0-4","985","Male",2016
"129","1247","0-4","900","Male",2016
"130","1258","0-4","2460","Male",2016
"131","1269","0-4","10565","Male",2016
"132","1301","0-4","5095","Male",2016
"133","1302","0-4","4195","Male",2016
"134","1303","0-4","4630","Male",2016
"135","1304","0-4","1020","Male",2016
"136","1305","0-4","430","Male",2016
"137","1306","0-4","1380","Male",2016
"138","1307","0-4","1170","Male",2016
"139","2401","0-4","4715","Male",2016
"140","2402","0-4","7235","Male",2016
"141","2403","0-4","19610","Male",2016
"142","2404","0-4","13005","Male",2016
"143","2405","0-4","8645","Male",2016
"144","2406","0-4","56055","Male",2016
"145","2407","0-4","11545","Male",2016
"146","2408","0-4","4215","Male",2016
"147","2409","0-4","2500","Male",2016
"148","2410","0-4","415","Male",2016
"149","2411","0-4","1760","Male",2016
"150","2412","0-4","12060","Male",2016
"151","2413","0-4","11475","Male",2016
"152","2414","0-4","14305","Male",2016
"153","2415","0-4","16125","Male",2016
"154","2416","0-4","42780","Male",2016
"155","2417","0-4","805","Male",2016
"156","2418","0-4","815","Male",2016
"157","3526","0-4","2675","Male",2016
"158","3527","0-4","3800","Male",2016
"159","3530","0-4","18210","Male",2016
"160","3531","0-4","2645","Male",2016
"161","3533","0-4","4240","Male",2016
"162","3534","0-4","2840","Male",2016
"163","3535","0-4","3490","Male",2016
"164","3536","0-4","15730","Male",2016
"165","3537","0-4","14565","Male",2016
"166","3538","0-4","3930","Male",2016
"167","3539","0-4","1720","Male",2016
"168","3540","0-4","2745","Male",2016
"169","3541","0-4","4630","Male",2016
"170","3542","0-4","3130","Male",2016
"171","3543","0-4","3800","Male",2016
"172","3544","0-4","12415","Male",2016
"173","3546","0-4","10650","Male",2016
"174","3547","0-4","2830","Male",2016
"175","3549","0-4","2510","Male",2016
"176","3551","0-4","24800","Male",2016
"177","3552","0-4","3285","Male",2016
"178","3553","0-4","40635","Male",2016
"179","3554","0-4","2245","Male",2016
"180","3555","0-4","5040","Male",2016
"181","3556","0-4","2470","Male",2016
"182","3557","0-4","2885","Male",2016
"183","3558","0-4","5345","Male",2016
"184","3560","0-4","13750","Male",2016
"185","3561","0-4","5045","Male",2016
"186","3562","0-4","4205","Male",2016
"187","3563","0-4","880","Male",2016
"188","3565","0-4","15565","Male",2016
"189","3566","0-4","8745","Male",2016
"190","3568","0-4","10385","Male",2016
"191","3570","0-4","29205","Male",2016
"192","3595","0-4","69900","Male",2016
"193","4601","0-4","20615","Male",2016
"194","4602","0-4","5630","Male",2016
"195","4603","0-4","3800","Male",2016
"196","4604","0-4","3960","Male",2016
"197","4605","0-4","7905","Male",2016
"198","4701","0-4","1850","Male",2016
"199","4702","0-4","1715","Male",2016
"200","4703","0-4","1330","Male",2016
"201","4704","0-4","9365","Male",2016
"202","4705","0-4","1570","Male",2016
"203","4706","0-4","11885","Male",2016
"204","4707","0-4","1310","Male",2016
"205","4708","0-4","1280","Male",2016
"206","4709","0-4","2700","Male",2016
"207","4710","0-4","3015","Male",2016
"208","4711","0-4","1230","Male",2016
"209","4712","0-4","540","Male",2016
"210","4713","0-4","200","Male",2016
"211","4831","0-4","10165","Male",2016
"212","4832","0-4","50375","Male",2016
"213","4833","0-4","15445","Male",2016
"214","4834","0-4","43275","Male",2016
"215","4835","0-4","17290","Male",2016
"216","5911","0-4","2010","Male",2016
"217","5912","0-4","1750","Male",2016
"218","5913","0-4","7730","Male",2016
"219","5914","0-4","5235","Male",2016
"220","5921","0-4","8760","Male",2016
"221","5922","0-4","16210","Male",2016
"222","5923","0-4","21695","Male",2016
"223","5931","0-4","4580","Male",2016
"224","5932","0-4","13320","Male",2016
"225","5933","0-4","6425","Male",2016
"226","5941","0-4","8120","Male",2016
"227","5942","0-4","5925","Male",2016
"228","5943","0-4","2835","Male",2016
"229","5951","0-4","2135","Male",2016
"230","5952","0-4","4075","Male",2016
"231","5953","0-4","2625","Male",2016
"232","6001","0-4","1170","Male",2016
"233","6101","0-4","1610","Male",2016
"234","6201","0-4","2130","Male",2016
"235","1011","5-9","8305","Male",2016
"236","1012","5-9","2130","Male",2016
"237","1013","5-9","1785","Male",2016
"238","1014","5-9","1220","Male",2016
"239","1100","5-9","3970","Male",2016
"240","1211","5-9","1240","Male",2016
"241","1212","5-9","1240","Male",2016
"242","1223","5-9","2045","Male",2016
"243","1234","5-9","2150","Male",2016
"244","1235","5-9","690","Male",2016
"245","1246","5-9","1140","Male",2016
"246","1247","5-9","1055","Male",2016
"247","1258","5-9","2915","Male",2016
"248","1269","5-9","11155","Male",2016
"249","1301","5-9","5510","Male",2016
"250","1302","5-9","4835","Male",2016
"251","1303","5-9","4910","Male",2016
"252","1304","5-9","1140","Male",2016
"253","1305","5-9","505","Male",2016
"254","1306","5-9","1575","Male",2016
"255","1307","5-9","1340","Male",2016
"256","2401","5-9","5300","Male",2016
"257","2402","5-9","7600","Male",2016
"258","2403","5-9","19690","Male",2016
"259","2404","5-9","14130","Male",2016
"260","2405","5-9","9280","Male",2016
"261","2406","5-9","53260","Male",2016
"262","2407","5-9","12215","Male",2016
"263","2408","5-9","4560","Male",2016
"264","2409","5-9","2740","Male",2016
"265","2410","5-9","435","Male",2016
"266","2411","5-9","2020","Male",2016
"267","2412","5-9","12850","Male",2016
"268","2413","5-9","13455","Male",2016
"269","2414","5-9","16080","Male",2016
"270","2415","5-9","17790","Male",2016
"271","2416","5-9","47000","Male",2016
"272","2417","5-9","765","Male",2016
"273","2418","5-9","1010","Male",2016
"274","3526","5-9","2780","Male",2016
"275","3527","5-9","4135","Male",2016
"276","3530","5-9","20430","Male",2016
"277","3531","5-9","3005","Male",2016
"278","3533","5-9","4205","Male",2016
"279","3534","5-9","2975","Male",2016
"280","3535","5-9","3990","Male",2016
"281","3536","5-9","19435","Male",2016
"282","3537","5-9","15020","Male",2016
"283","3538","5-9","4215","Male",2016
"284","3539","5-9","1705","Male",2016
"285","3540","5-9","2850","Male",2016
"286","3541","5-9","4955","Male",2016
"287","3542","5-9","3470","Male",2016
"288","3543","5-9","4210","Male",2016
"289","3544","5-9","13160","Male",2016
"290","3546","5-9","11565","Male",2016
"291","3547","5-9","3015","Male",2016
"292","3549","5-9","2610","Male",2016
"293","3551","5-9","27365","Male",2016
"294","3552","5-9","3415","Male",2016
"295","3553","5-9","46845","Male",2016
"296","3554","5-9","2405","Male",2016
"297","3555","5-9","5125","Male",2016
"298","3556","5-9","2640","Male",2016
"299","3557","5-9","2975","Male",2016
"300","3558","5-9","5785","Male",2016
"301","3560","5-9","15265","Male",2016
"302","3561","5-9","5325","Male",2016
"303","3562","5-9","4325","Male",2016
"304","3563","5-9","830","Male",2016
"305","3565","5-9","16780","Male",2016
"306","3566","5-9","9075","Male",2016
"307","3568","5-9","11640","Male",2016
"308","3570","5-9","34655","Male",2016
"309","3595","5-9","69345","Male",2016
"310","4601","5-9","20920","Male",2016
"311","4602","5-9","5735","Male",2016
"312","4603","5-9","4200","Male",2016
"313","4604","5-9","3890","Male",2016
"314","4605","5-9","8085","Male",2016
"315","4701","5-9","1895","Male",2016
"316","4702","5-9","1730","Male",2016
"317","4703","5-9","1240","Male",2016
"318","4704","5-9","9470","Male",2016
"319","4705","5-9","1760","Male",2016
"320","4706","5-9","11575","Male",2016
"321","4707","5-9","1375","Male",2016
"322","4708","5-9","1380","Male",2016
"323","4709","5-9","3035","Male",2016
"324","4710","5-9","3150","Male",2016
"325","4711","5-9","1350","Male",2016
"326","4712","5-9","590","Male",2016
"327","4713","5-9","285","Male",2016
"328","4831","5-9","10720","Male",2016
"329","4832","5-9","52925","Male",2016
"330","4833","5-9","16060","Male",2016
"331","4834","5-9","42790","Male",2016
"332","4835","5-9","16660","Male",2016
"333","5911","5-9","2320","Male",2016
"334","5912","5-9","2035","Male",2016
"335","5913","5-9","8690","Male",2016
"336","5914","5-9","5730","Male",2016
"337","5921","5-9","9605","Male",2016
"338","5922","5-9","17120","Male",2016
"339","5923","5-9","24400","Male",2016
"340","5931","5-9","4545","Male",2016
"341","5932","5-9","12270","Male",2016
"342","5933","5-9","7795","Male",2016
"343","5941","5-9","8650","Male",2016
"344","5942","5-9","6575","Male",2016
"345","5943","5-9","3230","Male",2016
"346","5951","5-9","2410","Male",2016
"347","5952","5-9","4605","Male",2016
"348","5953","5-9","2610","Male",2016
"349","6001","5-9","1130","Male",2016
"350","6101","5-9","1505","Male",2016
"351","6201","5-9","2115","Male",2016
"352","1011","10-14","8175","Male",2016
"353","1012","10-14","2320","Male",2016
"354","1013","10-14","1800","Male",2016
"355","1014","10-14","1090","Male",2016
"356","1100","10-14","3975","Male",2016
"357","1211","10-14","1285","Male",2016
"358","1212","10-14","1355","Male",2016
"359","1223","10-14","2030","Male",2016
"360","1234","10-14","2065","Male",2016
"361","1235","10-14","725","Male",2016
"362","1246","10-14","1145","Male",2016
"363","1247","10-14","1140","Male",2016
"364","1258","10-14","2920","Male",2016
"365","1269","10-14","10700","Male",2016
"366","1301","10-14","5455","Male",2016
"367","1302","10-14","4630","Male",2016
"368","1303","10-14","4805","Male",2016
"369","1304","10-14","1150","Male",2016
"370","1305","10-14","560","Male",2016
"371","1306","10-14","1575","Male",2016
"372","1307","10-14","1395","Male",2016
"373","2401","10-14","4730","Male",2016
"374","2402","10-14","6860","Male",2016
"375","2403","10-14","16565","Male",2016
"376","2404","10-14","12585","Male",2016
"377","2405","10-14","8685","Male",2016
"378","2406","10-14","46005","Male",2016
"379","2407","10-14","10970","Male",2016
"380","2408","10-14","4070","Male",2016
"381","2409","10-14","2570","Male",2016
"382","2410","10-14","415","Male",2016
"383","2411","10-14","1945","Male",2016
"384","2412","10-14","11165","Male",2016
"385","2413","10-14","12515","Male",2016
"386","2414","10-14","13900","Male",2016
"387","2415","10-14","16835","Male",2016
"388","2416","10-14","42785","Male",2016
"389","2417","10-14","715","Male",2016
"390","2418","10-14","955","Male",2016
"391","3526","10-14","2665","Male",2016
"392","3527","10-14","4090","Male",2016
"393","3530","10-14","20775","Male",2016
"394","3531","10-14","2945","Male",2016
"395","3533","10-14","4135","Male",2016
"396","3534","10-14","3155","Male",2016
"397","3535","10-14","4285","Male",2016
"398","3536","10-14","19970","Male",2016
"399","3537","10-14","15230","Male",2016
"400","3538","10-14","4055","Male",2016
"401","3539","10-14","1665","Male",2016
"402","3540","10-14","2990","Male",2016
"403","3541","10-14","5025","Male",2016
"404","3542","10-14","3350","Male",2016
"405","3543","10-14","4415","Male",2016
"406","3544","10-14","12605","Male",2016
"407","3546","10-14","12035","Male",2016
"408","3547","10-14","3070","Male",2016
"409","3549","10-14","2535","Male",2016
"410","3551","10-14","27020","Male",2016
"411","3552","10-14","3435","Male",2016
"412","3553","10-14","49000","Male",2016
"413","3554","10-14","2395","Male",2016
"414","3555","10-14","5070","Male",2016
"415","3556","10-14","2495","Male",2016
"416","3557","10-14","2725","Male",2016
"417","3558","10-14","5590","Male",2016
"418","3560","10-14","15470","Male",2016
"419","3561","10-14","5105","Male",2016
"420","3562","10-14","4220","Male",2016
"421","3563","10-14","830","Male",2016
"422","3565","10-14","16450","Male",2016
"423","3566","10-14","9155","Male",2016
"424","3568","10-14","12330","Male",2016
"425","3570","10-14","36570","Male",2016
"426","3595","10-14","64945","Male",2016
"427","4601","10-14","20825","Male",2016
"428","4602","10-14","5195","Male",2016
"429","4603","10-14","4135","Male",2016
"430","4604","10-14","3365","Male",2016
"431","4605","10-14","7410","Male",2016
"432","4701","10-14","1770","Male",2016
"433","4702","10-14","1510","Male",2016
"434","4703","10-14","1375","Male",2016
"435","4704","10-14","8505","Male",2016
"436","4705","10-14","1615","Male",2016
"437","4706","10-14","10510","Male",2016
"438","4707","10-14","1360","Male",2016
"439","4708","10-14","1320","Male",2016
"440","4709","10-14","2890","Male",2016
"441","4710","10-14","2825","Male",2016
"442","4711","10-14","1050","Male",2016
"443","4712","10-14","465","Male",2016
"444","4713","10-14","235","Male",2016
"445","4831","10-14","9560","Male",2016
"446","4832","10-14","46685","Male",2016
"447","4833","10-14","15015","Male",2016
"448","4834","10-14","38260","Male",2016
"449","4835","10-14","14925","Male",2016
"450","5911","10-14","2035","Male",2016
"451","5912","10-14","2050","Male",2016
"452","5913","10-14","8640","Male",2016
"453","5914","10-14","5625","Male",2016
"454","5921","10-14","9320","Male",2016
"455","5922","10-14","16325","Male",2016
"456","5923","10-14","24140","Male",2016
"457","5931","10-14","4890","Male",2016
"458","5932","10-14","12410","Male",2016
"459","5933","10-14","7660","Male",2016
"460","5941","10-14","8550","Male",2016
"461","5942","10-14","6425","Male",2016
"462","5943","10-14","3210","Male",2016
"463","5951","10-14","2330","Male",2016
"464","5952","10-14","4280","Male",2016
"465","5953","10-14","2180","Male",2016
"466","6001","10-14","1065","Male",2016
"467","6101","10-14","1355","Male",2016
"468","6201","10-14","1715","Male",2016
"469","1011","15-19","8445","Male",2016
"470","1012","15-19","2470","Male",2016
"471","1013","15-19","1970","Male",2016
"472","1014","15-19","1130","Male",2016
"473","1100","15-19","4450","Male",2016
"474","1211","15-19","1465","Male",2016
"475","1212","15-19","1535","Male",2016
"476","1223","15-19","2460","Male",2016
"477","1234","15-19","2265","Male",2016
"478","1235","15-19","855","Male",2016
"479","1246","15-19","1255","Male",2016
"480","1247","15-19","1185","Male",2016
"481","1258","15-19","3315","Male",2016
"482","1269","15-19","11900","Male",2016
"483","1301","15-19","5570","Male",2016
"484","1302","15-19","5140","Male",2016
"485","1303","15-19","5265","Male",2016
"486","1304","15-19","1205","Male",2016
"487","1305","15-19","600","Male",2016
"488","1306","15-19","1895","Male",2016
"489","1307","15-19","1625","Male",2016
"490","2401","15-19","4850","Male",2016
"491","2402","15-19","7020","Male",2016
"492","2403","15-19","17085","Male",2016
"493","2404","15-19","12985","Male",2016
"494","2405","15-19","8780","Male",2016
"495","2406","15-19","49360","Male",2016
"496","2407","15-19","10825","Male",2016
"497","2408","15-19","4165","Male",2016
"498","2409","15-19","2555","Male",2016
"499","2410","15-19","395","Male",2016
"500","2411","15-19","2060","Male",2016
"501","2412","15-19","11000","Male",2016
"502","2413","15-19","13075","Male",2016
"503","2414","15-19","14200","Male",2016
"504","2415","15-19","16665","Male",2016
"505","2416","15-19","42590","Male",2016
"506","2417","15-19","660","Male",2016
"507","2418","15-19","770","Male",2016
"508","3526","15-19","3010","Male",2016
"509","3527","15-19","4205","Male",2016
"510","3530","15-19","21910","Male",2016
"511","3531","15-19","2890","Male",2016
"512","3533","15-19","4475","Male",2016
"513","3534","15-19","3270","Male",2016
"514","3535","15-19","4800","Male",2016
"515","3536","15-19","18445","Male",2016
"516","3537","15-19","16615","Male",2016
"517","3538","15-19","4445","Male",2016
"518","3539","15-19","1800","Male",2016
"519","3540","15-19","3080","Male",2016
"520","3541","15-19","5385","Male",2016
"521","3542","15-19","3570","Male",2016
"522","3543","15-19","4810","Male",2016
"523","3544","15-19","13880","Male",2016
"524","3546","15-19","13090","Male",2016
"525","3547","15-19","3295","Male",2016
"526","3549","15-19","2625","Male",2016
"527","3551","15-19","28990","Male",2016
"528","3552","15-19","3445","Male",2016
"529","3553","15-19","53140","Male",2016
"530","3554","15-19","2500","Male",2016
"531","3555","15-19","5735","Male",2016
"532","3556","15-19","2690","Male",2016
"533","3557","15-19","2760","Male",2016
"534","3558","15-19","5855","Male",2016
"535","3560","15-19","16520","Male",2016
"536","3561","15-19","5725","Male",2016
"537","3562","15-19","4590","Male",2016
"538","3563","15-19","1025","Male",2016
"539","3565","15-19","17200","Male",2016
"540","3566","15-19","9835","Male",2016
"541","3568","15-19","13050","Male",2016
"542","3570","15-19","38620","Male",2016
"543","3595","15-19","74240","Male",2016
"544","4601","15-19","22890","Male",2016
"545","4602","15-19","5010","Male",2016
"546","4603","15-19","4185","Male",2016
"547","4604","15-19","3080","Male",2016
"548","4605","15-19","7420","Male",2016
"549","4701","15-19","1650","Male",2016
"550","4702","15-19","1660","Male",2016
"551","4703","15-19","1330","Male",2016
"552","4704","15-19","8465","Male",2016
"553","4705","15-19","1665","Male",2016
"554","4706","15-19","10885","Male",2016
"555","4707","15-19","1295","Male",2016
"556","4708","15-19","1320","Male",2016
"557","4709","15-19","2790","Male",2016
"558","4710","15-19","2650","Male",2016
"559","4711","15-19","1010","Male",2016
"560","4712","15-19","500","Male",2016
"561","4713","15-19","220","Male",2016
"562","4831","15-19","9565","Male",2016
"563","4832","15-19","45915","Male",2016
"564","4833","15-19","14760","Male",2016
"565","4834","15-19","38730","Male",2016
"566","4835","15-19","14485","Male",2016
"567","5911","15-19","2120","Male",2016
"568","5912","15-19","2080","Male",2016
"569","5913","15-19","9655","Male",2016
"570","5914","15-19","5965","Male",2016
"571","5921","15-19","9245","Male",2016
"572","5922","15-19","19255","Male",2016
"573","5923","15-19","26530","Male",2016
"574","5931","15-19","5935","Male",2016
"575","5932","15-19","15340","Male",2016
"576","5933","15-19","8390","Male",2016
"577","5941","15-19","9470","Male",2016
"578","5942","15-19","6925","Male",2016
"579","5943","15-19","3245","Male",2016
"580","5951","15-19","2435","Male",2016
"581","5952","15-19","4445","Male",2016
"582","5953","15-19","2215","Male",2016
"583","6001","15-19","985","Male",2016
"584","6101","15-19","1405","Male",2016
"585","6201","15-19","1610","Male",2016
"586","1011","20-24","9185","Male",2016
"587","1012","20-24","1870","Male",2016
"588","1013","20-24","1880","Male",2016
"589","1014","20-24","1000","Male",2016
"590","1100","20-24","4400","Male",2016
"591","1211","20-24","1185","Male",2016
"592","1212","20-24","1350","Male",2016
"593","1223","20-24","2070","Male",2016
"594","1234","20-24","1975","Male",2016
"595","1235","20-24","675","Male",2016
"596","1246","20-24","1075","Male",2016
"597","1247","20-24","1120","Male",2016
"598","1258","20-24","3260","Male",2016
"599","1269","20-24","15415","Male",2016
"600","1301","20-24","5950","Male",2016
"601","1302","20-24","4910","Male",2016
"602","1303","20-24","5835","Male",2016
"603","1304","20-24","1080","Male",2016
"604","1305","20-24","595","Male",2016
"605","1306","20-24","1770","Male",2016
"606","1307","20-24","1470","Male",2016
"607","2401","20-24","4920","Male",2016
"608","2402","20-24","7630","Male",2016
"609","2403","20-24","23095","Male",2016
"610","2404","20-24","14120","Male",2016
"611","2405","20-24","10050","Male",2016
"612","2406","20-24","69200","Male",2016
"613","2407","20-24","11675","Male",2016
"614","2408","20-24","4345","Male",2016
"615","2409","20-24","2560","Male",2016
"616","2410","20-24","450","Male",2016
"617","2411","20-24","1980","Male",2016
"618","2412","20-24","11465","Male",2016
"619","2413","20-24","13550","Male",2016
"620","2414","20-24","14660","Male",2016
"621","2415","20-24","17215","Male",2016
"622","2416","20-24","44400","Male",2016
"623","2417","20-24","610","Male",2016
"624","2418","20-24","740","Male",2016
"625","3526","20-24","3265","Male",2016
"626","3527","20-24","3995","Male",2016
"627","3530","20-24","22330","Male",2016
"628","3531","20-24","2515","Male",2016
"629","3533","20-24","4260","Male",2016
"630","3534","20-24","3295","Male",2016
"631","3535","20-24","4560","Male",2016
"632","3536","20-24","16635","Male",2016
"633","3537","20-24","18870","Male",2016
"634","3538","20-24","4475","Male",2016
"635","3539","20-24","1715","Male",2016
"636","3540","20-24","2755","Male",2016
"637","3541","20-24","6395","Male",2016
"638","3542","20-24","3885","Male",2016
"639","3543","20-24","4455","Male",2016
"640","3544","20-24","17420","Male",2016
"641","3546","20-24","14165","Male",2016
"642","3547","20-24","3370","Male",2016
"643","3549","20-24","2425","Male",2016
"644","3551","20-24","34575","Male",2016
"645","3552","20-24","3285","Male",2016
"646","3553","20-24","54470","Male",2016
"647","3554","20-24","2430","Male",2016
"648","3555","20-24","6490","Male",2016
"649","3556","20-24","2550","Male",2016
"650","3557","20-24","3045","Male",2016
"651","3558","20-24","5710","Male",2016
"652","3560","20-24","16960","Male",2016
"653","3561","20-24","6170","Male",2016
"654","3562","20-24","5235","Male",2016
"655","3563","20-24","890","Male",2016
"656","3565","20-24","20710","Male",2016
"657","3566","20-24","10185","Male",2016
"658","3568","20-24","14060","Male",2016
"659","3570","20-24","37465","Male",2016
"660","3595","20-24","97415","Male",2016
"661","4601","20-24","26285","Male",2016
"662","4602","20-24","4885","Male",2016
"663","4603","20-24","3940","Male",2016
"664","4604","20-24","2795","Male",2016
"665","4605","20-24","6640","Male",2016
"666","4701","20-24","1695","Male",2016
"667","4702","20-24","1495","Male",2016
"668","4703","20-24","1200","Male",2016
"669","4704","20-24","9420","Male",2016
"670","4705","20-24","1390","Male",2016
"671","4706","20-24","12620","Male",2016
"672","4707","20-24","1105","Male",2016
"673","4708","20-24","1070","Male",2016
"674","4709","20-24","2275","Male",2016
"675","4710","20-24","2445","Male",2016
"676","4711","20-24","1030","Male",2016
"677","4712","20-24","450","Male",2016
"678","4713","20-24","215","Male",2016
"679","4831","20-24","9825","Male",2016
"680","4832","20-24","48295","Male",2016
"681","4833","20-24","13995","Male",2016
"682","4834","20-24","46895","Male",2016
"683","4835","20-24","14880","Male",2016
"684","5911","20-24","1910","Male",2016
"685","5912","20-24","1780","Male",2016
"686","5913","20-24","9860","Male",2016
"687","5914","20-24","5975","Male",2016
"688","5921","20-24","9135","Male",2016
"689","5922","20-24","23390","Male",2016
"690","5923","20-24","26530","Male",2016
"691","5931","20-24","7095","Male",2016
"692","5932","20-24","22825","Male",2016
"693","5933","20-24","7925","Male",2016
"694","5941","20-24","12515","Male",2016
"695","5942","20-24","6760","Male",2016
"696","5943","20-24","2775","Male",2016
"697","5951","20-24","2310","Male",2016
"698","5952","20-24","4730","Male",2016
"699","5953","20-24","2415","Male",2016
"700","6001","20-24","1030","Male",2016
"701","6101","20-24","1625","Male",2016
"702","6201","20-24","1545","Male",2016
"703","1011","25-29","9610","Male",2016
"704","1012","25-29","1745","Male",2016
"705","1013","25-29","1605","Male",2016
"706","1014","25-29","1085","Male",2016
"707","1100","25-29","3700","Male",2016
"708","1211","25-29","1210","Male",2016
"709","1212","25-29","1155","Male",2016
"710","1223","25-29","1895","Male",2016
"711","1234","25-29","1775","Male",2016
"712","1235","25-29","590","Male",2016
"713","1246","25-29","940","Male",2016
"714","1247","25-29","865","Male",2016
"715","1258","25-29","2760","Male",2016
"716","1269","25-29","15630","Male",2016
"717","1301","25-29","5885","Male",2016
"718","1302","25-29","4415","Male",2016
"719","1303","25-29","5325","Male",2016
"720","1304","25-29","1085","Male",2016
"721","1305","25-29","505","Male",2016
"722","1306","25-29","1615","Male",2016
"723","1307","25-29","1285","Male",2016
"724","2401","25-29","4820","Male",2016
"725","2402","25-29","7425","Male",2016
"726","2403","25-29","24175","Male",2016
"727","2404","25-29","13480","Male",2016
"728","2405","25-29","9095","Male",2016
"729","2406","25-29","75655","Male",2016
"730","2407","25-29","11380","Male",2016
"731","2408","25-29","4485","Male",2016
"732","2409","25-29","2485","Male",2016
"733","2410","25-29","480","Male",2016
"734","2411","25-29","1780","Male",2016
"735","2412","25-29","10925","Male",2016
"736","2413","25-29","11515","Male",2016
"737","2414","25-29","13165","Male",2016
"738","2415","25-29","15720","Male",2016
