"","clsc.age.pry.CLSC_code","clsc.age.pry.Age","clsc.age.pry.Count","clsc.age.pry.Sex","clsc.age.pry.Year"
"2931","16343","/80-84years;Males","195","Male",2011
"2932","17011","/80-84years;Males","0","Male",2011
"2933","17012","/80-84years;Males","5","Male",2011
"2934","18011","/80-84years;Males","35","Male",2011
"2935","1111","/85-;Males","235","Male",2011
"2936","1121","/85-;Males","300","Male",2011
"2937","1131","/85-;Males","155","Male",2011
"2938","1141","/85-;Males","120","Male",2011
"2939","1151","/85-;Males","340","Male",2011
"2940","1161","/85-;Males","150","Male",2011
"2941","1171","/85-;Males","165","Male",2011
"2942","1181","/85-;Males","155","Male",2011
"2943","2111","/85-;Males","170","Male",2011
"2944","2121","/85-;Males","190","Male",2011
"2945","2131","/85-;Males","320","Male",2011
"2946","2141","/85-;Males","355","Male",2011
"2947","2151","/85-;Males","450","Male",2011
"2948","2161","/85-;Males","120","Male",2011
"2949","3111","/85-;Males","320","Male",2011
"2950","3121","/85-;Males","245","Male",2011
"2951","3122","/85-;Males","250","Male",2011
"2952","3123","/85-;Males","910","Male",2011
"2953","3124","/85-;Males","505","Male",2011
"2954","3125","/85-;Males","155","Male",2011
"2955","3126","/85-;Males","430","Male",2011
"2956","3131","/85-;Males","190","Male",2011
"2957","3132","/85-;Males","485","Male",2011
"2958","3133","/85-;Males","455","Male",2011
"2959","3134","/85-;Males","230","Male",2011
"2960","3141","/85-;Males","100","Male",2011
"2961","3142","/85-;Males","110","Male",2011
"2962","4111","/85-;Males","80","Male",2011
"2963","4121","/85-;Males","145","Male",2011
"2964","4122","/85-;Males","100","Male",2011
"2965","4131","/85-;Males","180","Male",2011
"2966","4141","/85-;Males","535","Male",2011
"2967","4151","/85-;Males","630","Male",2011
"2968","4152","/85-;Males","315","Male",2011
"2969","4161","/85-;Males","150","Male",2011
"2970","4162","/85-;Males","160","Male",2011
"2971","4171","/85-;Males","635","Male",2011
"2972","4181","/85-;Males","450","Male",2011
"2973","4182","/85-;Males","185","Male",2011
"2974","5111","/85-;Males","335","Male",2011
"2975","5121","/85-;Males","520","Male",2011
"2976","5131","/85-;Males","310","Male",2011
"2977","5141","/85-;Males","140","Male",2011
"2978","5151","/85-;Males","1045","Male",2011
"2979","5161","/85-;Males","160","Male",2011
"2980","5171","/85-;Males","135","Male",2011
"2981","5181","/85-;Males","145","Male",2011
"2982","5191","/85-;Males","190","Male",2011
"2983","6111","/85-;Males","1020","Male",2011
"2984","6112","/85-;Males","450","Male",2011
"2985","6113","/85-;Males","245","Male",2011
"2986","6121","/85-;Males","395","Male",2011
"2987","6122","/85-;Males","545","Male",2011
"2988","6211","/85-;Males","980","Male",2011
"2989","6212","/85-;Males","475","Male",2011
"2990","6221","/85-;Males","145","Male",2011
"2991","6222","/85-;Males","390","Male",2011
"2992","6223","/85-;Males","235","Male",2011
"2993","6224","/85-;Males","310","Male",2011
"2994","6225","/85-;Males","585","Male",2011
"2995","6311","/85-;Males","120","Male",2011
"2996","6312","/85-;Males","170","Male",2011
"2997","6313","/85-;Males","375","Male",2011
"2998","6314","/85-;Males","35","Male",2011
"2999","6321","/85-;Males","115","Male",2011
"3000","6322","/85-;Males","130","Male",2011
"3001","6323","/85-;Males","165","Male",2011
"3002","6324","/85-;Males","85","Male",2011
"3003","6411","/85-;Males","455","Male",2011
"3004","6412","/85-;Males","745","Male",2011
"3005","6421","/85-;Males","565","Male",2011
"3006","6422","/85-;Males","655","Male",2011
"3007","6431","/85-;Males","260","Male",2011
"3008","6432","/85-;Males","170","Male",2011
"3009","6511","/85-;Males","310","Male",2011
"3010","6512","/85-;Males","670","Male",2011
"3011","6521","/85-;Males","360","Male",2011
"3012","6522","/85-;Males","300","Male",2011
"3013","6523","/85-;Males","275","Male",2011
"3014","6524","/85-;Males","230","Male",2011
"3015","6531","/85-;Males","585","Male",2011
"3016","6532","/85-;Males","340","Male",2011
"3017","6533","/85-;Males","145","Male",2011
"3018","7111","/85-;Males","110","Male",2011
"3019","7121","/85-;Males","105","Male",2011
"3020","7131","/85-;Males","50","Male",2011
"3021","7151","/85-;Males","45","Male",2011
"3022","7152","/85-;Males","120","Male",2011
"3023","8111","/85-;Males","165","Male",2011
"3024","8121","/85-;Males","130","Male",2011
"3025","8131","/85-;Males","240","Male",2011
"3026","8141","/85-;Males","180","Male",2011
"3027","8151","/85-;Males","80","Male",2011
"3028","8152","/85-;Males","15","Male",2011
"3029","9111","/85-;Males","0","Male",2011
"3030","9121","/85-;Males","40","Male",2011
"3031","9122","/85-;Males","40","Male",2011
"3032","9123","/85-;Males","155","Male",2011
"3033","9131","/85-;Males","25","Male",2011
"3034","9141","/85-;Males","85","Male",2011
"3035","9151","/85-;Males","35","Male",2011
"3036","9161","/85-;Males","25","Male",2011
"3037","9171","/85-;Males","0","Male",2011
"3038","10011","/85-;Males","0","Male",2011
"3039","10012","/85-;Males","0","Male",2011
"3040","10013","/85-;Males","5","Male",2011
"3041","10014","/85-;Males","15","Male",2011
"3042","11111","/85-;Males","130","Male",2011
"3043","11112","/85-;Males","210","Male",2011
"3044","11121","/85-;Males","90","Male",2011
"3045","11131","/85-;Males","20","Male",2011
"3046","11132","/85-;Males","125","Male",2011
"3047","11133","/85-;Males","5","Male",2011
"3048","11141","/85-;Males","140","Male",2011
"3049","11211","/85-;Males","95","Male",2011
"3050","12111","/85-;Males","175","Male",2011
"3051","12112","/85-;Males","250","Male",2011
"3052","12113","/85-;Males","390","Male",2011
"3053","12114","/85-;Males","280","Male",2011
"3054","12115","/85-;Males","235","Male",2011
"3055","12121","/85-;Males","395","Male",2011
"3056","12131","/85-;Males","140","Male",2011
"3057","12132","/85-;Males","325","Male",2011
"3058","12141","/85-;Males","145","Male",2011
"3059","12151","/85-;Males","185","Male",2011
"3060","12152","/85-;Males","150","Male",2011
"3061","13111","/85-;Males","400","Male",2011
"3062","13112","/85-;Males","260","Male",2011
"3063","13113","/85-;Males","735","Male",2011
"3064","13114","/85-;Males","825","Male",2011
"3065","14111","/85-;Males","275","Male",2011
"3066","14112","/85-;Males","175","Male",2011
"3067","14113","/85-;Males","455","Male",2011
"3068","14114","/85-;Males","230","Male",2011
"3069","14121","/85-;Males","270","Male",2011
"3070","14122","/85-;Males","465","Male",2011
"3071","15111","/85-;Males","220","Male",2011
"3072","15121","/85-;Males","260","Male",2011
"3073","15131","/85-;Males","280","Male",2011
"3074","15141","/85-;Males","205","Male",2011
"3075","15151","/85-;Males","330","Male",2011
"3076","15161","/85-;Males","530","Male",2011
"3077","15171","/85-;Males","485","Male",2011
"3078","16111","/85-;Males","725","Male",2011
"3079","16112","/85-;Males","230","Male",2011
"3080","16121","/85-;Males","340","Male",2011
"3081","16122","/85-;Males","520","Male",2011
"3082","16211","/85-;Males","300","Male",2011
"3083","16212","/85-;Males","340","Male",2011
"3084","16213","/85-;Males","380","Male",2011
"3085","16221","/85-;Males","490","Male",2011
"3086","16222","/85-;Males","540","Male",2011
"3087","16223","/85-;Males","80","Male",2011
"3088","16231","/85-;Males","335","Male",2011
"3089","16311","/85-;Males","480","Male",2011
"3090","16321","/85-;Males","420","Male",2011
"3091","16331","/85-;Males","165","Male",2011
"3092","16341","/85-;Males","320","Male",2011
"3093","16342","/85-;Males","265","Male",2011
