"","ca.age.pry.census_id","ca.age.pry.Age","ca.age.pry.Count","ca.age.pry.Sex","ca.age.pry.Year"
"226","10","75 - 79","5965","Male",2006
"227","11","75 - 79","1665","Male",2006
"228","12","75 - 79","11340","Male",2006
"229","13","75 - 79","8765","Male",2006
"230","24","75 - 79","92485","Male",2006
"231","35","75 - 79","149580","Male",2006
"232","46","75 - 79","14140","Male",2006
"233","47","75 - 79","13750","Male",2006
"234","48","75 - 79","32705","Male",2006
"235","59","75 - 79","55635","Male",2006
"236","60","75 - 79","205","Male",2006
"237","61","75 - 79","180","Male",2006
"238","62","75 - 79","65","Male",2006
"239","1","80 - 84","251420","Male",2006
"240","10","80 - 84","3850","Male",2006
"241","11","80 - 84","1115","Male",2006
"242","12","80 - 84","7545","Male",2006
"243","13","80 - 84","6280","Male",2006
"244","24","80 - 84","58080","Male",2006
"245","35","80 - 84","97240","Male",2006
"246","46","80 - 84","10180","Male",2006
"247","47","80 - 84","9775","Male",2006
"248","48","80 - 84","20225","Male",2006
"249","59","80 - 84","36890","Male",2006
"250","60","80 - 84","120","Male",2006
"251","61","80 - 84","90","Male",2006
"252","62","80 - 84","35","Male",2006
"253","1","85-","161925","Male",2006
"254","10","85-","2320","Male",2006
"255","11","85-","770","Male",2006
"256","12","85-","5560","Male",2006
"257","13","85-","4255","Male",2006
"258","24","85-","33695","Male",2006
"259","35","85-","60550","Male",2006
"260","46","85-","7500","Male",2006
"261","47","85-","7660","Male",2006
"262","48","85-","13755","Male",2006
"263","59","85-","25690","Male",2006
"264","60","85-","65","Male",2006
"265","61","85-","80","Male",2006
"266","62","85-","20","Male",2006
"267","1","Total","16136930","Female",2006
"268","10","Total","259735","Female",2006
"269","11","Total","70255","Female",2006
"270","12","Total","473630","Female",2006
"271","13","Total","374495","Female",2006
"272","24","Total","3858435","Female",2006
"273","35","Total","6229580","Female",2006
"274","46","Total","585125","Female",2006
"275","47","Total","492920","Female",2006
"276","48","Total","1643555","Female",2006
"277","59","Total","2099500","Female",2006
"278","60","Total","15090","Female",2006
"279","61","Total","20235","Female",2006
"280","62","Total","14365","Female",2006
"281","1","0 - 4","825940","Female",2006
"282","10","0 - 4","11215","Female",2006
"283","11","0 - 4","3320","Female",2006
"284","12","0 - 4","20745","Female",2006
"285","13","0 - 4","16875","Female",2006
"286","24","0 - 4","183710","Female",2006
"287","35","0 - 4","327290","Female",2006
"288","46","0 - 4","33160","Female",2006
"289","47","0 - 4","28100","Female",2006
"290","48","0 - 4","98765","Female",2006
"291","59","0 - 4","98590","Female",2006
"292","60","0 - 4","855","Female",2006
"293","61","0 - 4","1630","Female",2006
"294","62","0 - 4","1685","Female",2006
"295","1","5 - 9","882515","Female",2006
"296","10","5 - 9","12665","Female",2006
"297","11","5 - 9","3855","Female",2006
"298","12","5 - 9","23500","Female",2006
"299","13","5 - 9","18810","Female",2006
"300","24","5 - 9","195000","Female",2006
"301","35","5 - 9","351915","Female",2006
