"","clsc.age.pry.CLSC_code","clsc.age.pry.Age","clsc.age.pry.Count","clsc.age.pry.Sex","clsc.age.pry.Year"
"425","8121","5-9","730","Male",2016
"426","8131","5-9","1255","Male",2016
"427","8141","5-9","1445","Male",2016
"428","8151","5-9","390","Male",2016
"429","8152","5-9","100","Male",2016
"430","9111","5-9","125","Male",2016
"431","9121","5-9","145","Male",2016
"432","9122","5-9","105","Male",2016
"433","9123","5-9","760","Male",2016
"434","9131","5-9","240","Male",2016
"435","9141","5-9","950","Male",2016
"436","9151","5-9","225","Male",2016
"437","9161","5-9","160","Male",2016
"438","9171","5-9","35","Male",2016
"439","10011","5-9","35","Male",2016
"440","10012","5-9","40","Male",2016
"441","10013","5-9","90","Male",2016
"442","10014","5-9","270","Male",2016
"443","11111","5-9","390","Male",2016
"444","11112","5-9","395","Male",2016
"445","11121","5-9","230","Male",2016
"446","11131","5-9","35","Male",2016
"447","11132","5-9","370","Male",2016
"448","11133","5-9","15","Male",2016
"449","11141","5-9","365","Male",2016
"450","11211","5-9","230","Male",2016
"451","12111","5-9","1050","Male",2016
"452","12112","5-9","3305","Male",2016
"453","12113","5-9","1500","Male",2016
"454","12114","5-9","1110","Male",2016
"455","12115","5-9","1045","Male",2016
"456","12121","5-9","1095","Male",2016
"457","12131","5-9","645","Male",2016
"458","12132","5-9","1695","Male",2016
"459","12141","5-9","425","Male",2016
"460","12151","5-9","530","Male",2016
"461","12152","5-9","440","Male",2016
"462","13111","5-9","5025","Male",2016
"463","13112","5-9","2000","Male",2016
"464","13113","5-9","2380","Male",2016
"465","13114","5-9","4095","Male",2016
"466","14111","5-9","1160","Male",2016
"467","14112","5-9","1785","Male",2016
"468","14113","5-9","1870","Male",2016
"469","14114","5-9","1145","Male",2016
"470","14121","5-9","6030","Male",2016
"471","14122","5-9","4075","Male",2016
"472","15111","5-9","750","Male",2016
"473","15121","5-9","1105","Male",2016
"474","15131","5-9","795","Male",2016
"475","15141","5-9","855","Male",2016
"476","15151","5-9","4100","Male",2016
"477","15161","5-9","5250","Male",2016
"478","15171","5-9","5000","Male",2016
"479","16111","5-9","3690","Male",2016
"480","16112","5-9","2475","Male",2016
"481","16121","5-9","2525","Male",2016
"482","16122","5-9","3595","Male",2016
"483","16211","5-9","1620","Male",2016
"484","16212","5-9","2005","Male",2016
"485","16213","5-9","3935","Male",2016
"486","16221","5-9","3790","Male",2016
"487","16222","5-9","2585","Male",2016
"488","16223","5-9","490","Male",2016
"489","16231","5-9","1155","Male",2016
"490","16311","5-9","5370","Male",2016
"491","16321","5-9","1425","Male",2016
"492","16331","5-9","605","Male",2016
"493","16341","5-9","2410","Male",2016
"494","16342","5-9","3840","Male",2016
"495","16343","5-9","870","Male",2016
"496","17011","5-9","480","Male",2016
"497","17012","5-9","285","Male",2016
"498","18011","5-9","1010","Male",2016
"499","1111","10-14","545","Male",2016
"500","1121","10-14","825","Male",2016
"501","1131","10-14","520","Male",2016
"502","1141","10-14","190","Male",2016
"503","1151","10-14","1305","Male",2016
"504","1161","10-14","450","Male",2016
"505","1171","10-14","460","Male",2016
"506","1181","10-14","415","Male",2016
"507","2111","10-14","755","Male",2016
"508","2121","10-14","650","Male",2016
"509","2131","10-14","1355","Male",2016
"510","2141","10-14","1635","Male",2016
"511","2151","10-14","1920","Male",2016
"512","2161","10-14","550","Male",2016
"513","3111","10-14","1185","Male",2016
"514","3121","10-14","1795","Male",2016
"515","3122","10-14","1060","Male",2016
"516","3123","10-14","1495","Male",2016
"517","3124","10-14","380","Male",2016
"518","3125","10-14","285","Male",2016
"519","3126","10-14","925","Male",2016
"520","3131","10-14","3190","Male",2016
"521","3132","10-14","2730","Male",2016
"522","3133","10-14","2110","Male",2016
"523","3134","10-14","840","Male",2016
"524","3141","10-14","275","Male",2016
"525","3142","10-14","340","Male",2016
"526","4111","10-14","465","Male",2016
"527","4121","10-14","265","Male",2016
"528","4122","10-14","285","Male",2016
"529","4131","10-14","490","Male",2016
"530","4141","10-14","1345","Male",2016
"531","4151","10-14","2085","Male",2016
"532","4152","10-14","1150","Male",2016
"533","4161","10-14","545","Male",2016
"534","4162","10-14","515","Male",2016
"535","4171","10-14","2940","Male",2016
"536","4181","10-14","1910","Male",2016
"537","4182","10-14","615","Male",2016
"538","5111","10-14","1420","Male",2016
"539","5121","10-14","2780","Male",2016
"540","5131","10-14","1220","Male",2016
"541","5141","10-14","610","Male",2016
"542","5151","10-14","4280","Male",2016
"543","5161","10-14","925","Male",2016
"544","5171","10-14","395","Male",2016
"545","5181","10-14","630","Male",2016
"546","5191","10-14","605","Male",2016
"547","6111","10-14","2575","Male",2016
"548","6112","10-14","2825","Male",2016
"549","6113","10-14","1570","Male",2016
"550","6121","10-14","1545","Male",2016
"551","6122","10-14","1920","Male",2016
"552","6211","10-14","1375","Male",2016
"553","6212","10-14","1825","Male",2016
"554","6221","10-14","680","Male",2016
"555","6222","10-14","1755","Male",2016
"556","6223","10-14","1000","Male",2016
"557","6224","10-14","1145","Male",2016
"558","6225","10-14","850","Male",2016
"559","6311","10-14","655","Male",2016
"560","6312","10-14","575","Male",2016
"561","6313","10-14","1235","Male",2016
"562","6314","10-14","280","Male",2016
"563","6321","10-14","665","Male",2016
"564","6322","10-14","755","Male",2016
"565","6323","10-14","415","Male",2016
"566","6324","10-14","120","Male",2016
"567","6411","10-14","1505","Male",2016
"568","6412","10-14","2900","Male",2016
"569","6421","10-14","1755","Male",2016
"570","6422","10-14","2260","Male",2016
"571","6431","10-14","1135","Male",2016
"572","6432","10-14","695","Male",2016
"573","6511","10-14","1620","Male",2016
"574","6512","10-14","2025","Male",2016
"575","6521","10-14","1710","Male",2016
"576","6522","10-14","1135","Male",2016
"577","6523","10-14","1165","Male",2016
"578","6524","10-14","1005","Male",2016
"579","6531","10-14","1760","Male",2016
"580","6532","10-14","835","Male",2016
"581","6533","10-14","740","Male",2016
"582","7111","10-14","560","Male",2016
"583","7121","10-14","480","Male",2016
"584","7131","10-14","1255","Male",2016
"585","7141","10-14","2295","Male",2016
"586","7142","10-14","1625","Male",2016
"587","7143","10-14","3285","Male",2016
"588","7151","10-14","1160","Male",2016
"589","7152","10-14","325","Male",2016
"590","8111","10-14","575","Male",2016
"591","8121","10-14","705","Male",2016
"592","8131","10-14","1105","Male",2016
"593","8141","10-14","1235","Male",2016
"594","8151","10-14","360","Male",2016
"595","8152","10-14","90","Male",2016
"596","9111","10-14","105","Male",2016
"597","9121","10-14","135","Male",2016
"598","9122","10-14","100","Male",2016
"599","9123","10-14","825","Male",2016
"600","9131","10-14","210","Male",2016
"601","9141","10-14","850","Male",2016
"602","9151","10-14","185","Male",2016
"603","9161","10-14","130","Male",2016
"604","9171","10-14","30","Male",2016
"605","10011","10-14","40","Male",2016
"606","10012","10-14","55","Male",2016
"607","10013","10-14","55","Male",2016
"608","10014","10-14","265","Male",2016
"609","11111","10-14","350","Male",2016
"610","11112","10-14","380","Male",2016
"611","11121","10-14","215","Male",2016
"612","11131","10-14","45","Male",2016
"613","11132","10-14","350","Male",2016
"614","11133","10-14","20","Male",2016
"615","11141","10-14","330","Male",2016
"616","11211","10-14","260","Male",2016
"617","12111","10-14","815","Male",2016
"618","12112","10-14","2965","Male",2016
"619","12113","10-14","1250","Male",2016
"620","12114","10-14","910","Male",2016
"621","12115","10-14","760","Male",2016
"622","12121","10-14","990","Male",2016
"623","12131","10-14","605","Male",2016
"624","12132","10-14","1450","Male",2016
"625","12141","10-14","425","Male",2016
"626","12151","10-14","575","Male",2016
"627","12152","10-14","420","Male",2016
"628","13111","10-14","4655","Male",2016
"629","13112","10-14","1885","Male",2016
"630","13113","10-14","2090","Male",2016
"631","13114","10-14","3910","Male",2016
"632","14111","10-14","1085","Male",2016
"633","14112","10-14","1450","Male",2016
